frequency,horizon_steps,model,mean_loss,tasks,mean_loss_ratio,mean_paired_improvement_percent,relative_tasks
H,168,chronos2,0.7878928660394265,6,0.7878928660394265,21.210713396057354,6
H,168,seasonal_naive,1.0,6,1.0,0.0,6
H,72,chronos2,0.832079516391905,3,0.832079516391905,16.7920483608095,3
H,72,seasonal_naive,1.0,3,1.0,0.0,3
H,24,chronos2,0.7326612075970645,6,0.7326612075970645,26.73387924029355,6
H,24,seasonal_naive,1.0,6,1.0,0.0,6
15T,288,chronos2,0.8212584098687591,3,0.8212584098687591,17.874159013124096,3
15T,288,seasonal_naive,1.0,3,1.0,0.0,3
15T,96,chronos2,0.7768883736465491,4,0.7768883736465491,22.311162635345095,4
15T,96,seasonal_naive,1.0,4,1.0,0.0,4
15T,12,chronos2,0.6433876972441147,2,0.6433876972441147,35.66123027558853,2
15T,12,seasonal_naive,1.0,2,1.0,0.0,2
20T,216,chronos2,0.8459107464398465,2,0.8459107464398465,15.40892535601535,2
20T,216,seasonal_naive,1.0,2,1.0,0.0,2
20T,72,chronos2,0.7696197325784284,2,0.7696197325784284,23.03802674215715,2
20T,72,seasonal_naive,1.0,2,1.0,0.0,2
20T,9,chronos2,0.4122473707131683,2,0.4122473707131683,58.77526292868317,2
20T,9,seasonal_naive,1.0,2,1.0,0.0,2
5T,864,chronos2,0.801824171953929,2,0.801824171953929,19.8175828046071,2
5T,864,seasonal_naive,1.0,2,1.0,0.0,2
5T,288,chronos2,0.7177667595542436,6,0.7177667595542436,28.223324044575644,6
5T,288,seasonal_naive,1.0,6,1.0,0.0,6
5T,36,chronos2,0.5258291776208794,2,0.5258291776208794,47.417082237912055,2
5T,36,seasonal_naive,1.0,2,1.0,0.0,2
H,336,chronos2,0.754264630930589,3,0.754264630930589,24.573536906941097,3
H,336,seasonal_naive,1.0,3,1.0,0.0,3
D,30,chronos2,0.6307986110411444,4,0.6307986110411444,36.92013889588556,4
D,30,seasonal_naive,1.0,4,1.0,0.0,4
15T,672,chronos2,0.7779419960413352,1,0.7779419960413352,22.205800395866483,1
15T,672,seasonal_naive,1.0,1,1.0,0.0,1
15T,24,chronos2,0.5855899091498685,1,0.5855899091498685,41.44100908501315,1
15T,24,seasonal_naive,1.0,1,1.0,0.0,1
W,13,chronos2,0.8705178519176796,3,0.8705178519176796,12.948214808232038,3
W,13,seasonal_naive,1.0,3,1.0,0.0,3
Q,4,chronos2,0.8097504992608668,2,0.8097504992608668,19.02495007391331,2
Q,4,seasonal_naive,1.0,2,1.0,0.0,2
M,12,chronos2,0.6563313134978335,5,0.6563313134978335,34.36686865021666,5
M,12,seasonal_naive,1.0,5,1.0,0.0,5
5T,576,chronos2,0.7647105240093246,1,0.7647105240093246,23.52894759906754,1
5T,576,seasonal_naive,1.0,1,1.0,0.0,1
5T,48,chronos2,0.6452590724237032,2,0.6452590724237032,35.474092757629684,2
5T,48,seasonal_naive,1.0,2,1.0,0.0,2
B,20,chronos2,0.8653641927643824,2,0.8653641927643824,13.463580723561764,2
B,20,seasonal_naive,1.0,2,1.0,0.0,2
5T,96,chronos2,0.5678251586672486,1,0.5678251586672486,43.21748413327514,1
5T,96,seasonal_naive,1.0,1,1.0,0.0,1
5T,24,chronos2,0.37876226061632307,1,0.37876226061632307,62.1237739383677,1
5T,24,seasonal_naive,1.0,1,1.0,0.0,1
D,14,chronos2,0.7566460219756559,1,0.7566460219756559,24.33539780243441,1
D,14,seasonal_naive,1.0,1,1.0,0.0,1
D,7,chronos2,0.7497818803392814,1,0.7497818803392814,25.021811966071862,1
D,7,seasonal_naive,1.0,1,1.0,0.0,1
D,3,chronos2,0.7954173532008473,1,0.7954173532008473,20.458264679915274,1
D,3,seasonal_naive,1.0,1,1.0,0.0,1
M,6,chronos2,0.342724932030673,1,0.342724932030673,65.7275067969327,1
M,6,seasonal_naive,1.0,1,1.0,0.0,1
15T,16,chronos2,0.5606733543922628,1,0.5606733543922628,43.932664560773716,1
15T,16,seasonal_naive,1.0,1,1.0,0.0,1
10T,432,chronos2,0.6505192676677409,1,0.6505192676677409,34.948073233225905,1
10T,432,seasonal_naive,1.0,1,1.0,0.0,1
10T,144,chronos2,0.6621977332228386,1,0.6621977332228386,33.78022667771614,1
10T,144,seasonal_naive,1.0,1,1.0,0.0,1
10T,18,chronos2,0.5067164633481785,1,0.5067164633481785,49.32835366518214,1
10T,18,seasonal_naive,1.0,1,1.0,0.0,1
