frequency,horizon_steps,model,mean_loss,tasks,mean_loss_ratio,mean_paired_improvement_percent,relative_tasks
H,168,chronos2,0.784603263384173,6,0.784603263384173,21.539673661582697,6
H,168,seasonal_naive,1.0,6,1.0,0.0,6
H,72,chronos2,0.8219436950532267,3,0.8219436950532267,17.80563049467733,3
H,72,seasonal_naive,1.0,3,1.0,0.0,3
H,24,chronos2,0.725444457072654,6,0.725444457072654,27.45555429273459,6
H,24,seasonal_naive,1.0,6,1.0,0.0,6
15T,288,chronos2,0.8178296552214412,3,0.8178296552214412,18.21703447785588,3
15T,288,seasonal_naive,1.0,3,1.0,0.0,3
15T,96,chronos2,0.7738932643544416,4,0.7738932643544416,22.61067356455584,4
15T,96,seasonal_naive,1.0,4,1.0,0.0,4
15T,12,chronos2,0.6429367654304209,2,0.6429367654304209,35.70632345695791,2
15T,12,seasonal_naive,1.0,2,1.0,0.0,2
20T,216,chronos2,0.7721222478188259,2,0.7721222478188259,22.787775218117407,2
20T,216,seasonal_naive,1.0,2,1.0,0.0,2
20T,72,chronos2,0.7442095172130145,2,0.7442095172130145,25.579048278698544,2
20T,72,seasonal_naive,1.0,2,1.0,0.0,2
20T,9,chronos2,0.4219034376988341,2,0.4219034376988341,57.80965623011659,2
20T,9,seasonal_naive,1.0,2,1.0,0.0,2
5T,864,chronos2,0.8116659487572302,2,0.8116659487572302,18.833405124276975,2
5T,864,seasonal_naive,1.0,2,1.0,0.0,2
5T,288,chronos2,0.7207117242686504,6,0.7207117242686504,27.92882757313497,6
5T,288,seasonal_naive,1.0,6,1.0,0.0,6
5T,36,chronos2,0.527644449562621,2,0.527644449562621,47.23555504373789,2
5T,36,seasonal_naive,1.0,2,1.0,0.0,2
H,336,chronos2,0.7540775457430651,3,0.7540775457430651,24.59224542569349,3
H,336,seasonal_naive,1.0,3,1.0,0.0,3
D,30,chronos2,0.6218730923028679,4,0.6218730923028679,37.8126907697132,4
D,30,seasonal_naive,1.0,4,1.0,0.0,4
15T,672,chronos2,0.805583445825203,1,0.805583445825203,19.441655417479698,1
15T,672,seasonal_naive,1.0,1,1.0,0.0,1
15T,24,chronos2,0.5939734485800114,1,0.5939734485800114,40.60265514199885,1
15T,24,seasonal_naive,1.0,1,1.0,0.0,1
W,13,chronos2,0.8631155642047014,3,0.8631155642047014,13.688443579529851,3
W,13,seasonal_naive,1.0,3,1.0,0.0,3
Q,4,chronos2,0.7555140016201294,2,0.7555140016201294,24.44859983798706,2
Q,4,seasonal_naive,1.0,2,1.0,0.0,2
M,12,chronos2,0.6311365892585067,5,0.6311365892585067,36.886341074149335,5
M,12,seasonal_naive,1.0,5,1.0,0.0,5
5T,576,chronos2,0.7697031603954076,1,0.7697031603954076,23.029683960459234,1
5T,576,seasonal_naive,1.0,1,1.0,0.0,1
5T,48,chronos2,0.6474963957890683,2,0.6474963957890683,35.25036042109318,2
5T,48,seasonal_naive,1.0,2,1.0,0.0,2
B,20,chronos2,0.8570818292790987,2,0.8570818292790987,14.291817072090137,2
B,20,seasonal_naive,1.0,2,1.0,0.0,2
5T,96,chronos2,0.5676356985687455,1,0.5676356985687455,43.236430143125446,1
5T,96,seasonal_naive,1.0,1,1.0,0.0,1
5T,24,chronos2,0.3744558321278641,1,0.3744558321278641,62.55441678721358,1
5T,24,seasonal_naive,1.0,1,1.0,0.0,1
D,14,chronos2,0.757408476991288,1,0.757408476991288,24.2591523008712,1
D,14,seasonal_naive,1.0,1,1.0,0.0,1
D,7,chronos2,0.7524136034517775,1,0.7524136034517775,24.758639654822247,1
D,7,seasonal_naive,1.0,1,1.0,0.0,1
D,3,chronos2,0.7968924694631168,1,0.7968924694631168,20.310753053688323,1
D,3,seasonal_naive,1.0,1,1.0,0.0,1
M,6,chronos2,0.3595686470735416,1,0.3595686470735416,64.04313529264584,1
M,6,seasonal_naive,1.0,1,1.0,0.0,1
15T,16,chronos2,0.5606183090187876,1,0.5606183090187876,43.938169098121236,1
15T,16,seasonal_naive,1.0,1,1.0,0.0,1
10T,432,chronos2,0.6481012388791804,1,0.6481012388791804,35.18987611208196,1
10T,432,seasonal_naive,1.0,1,1.0,0.0,1
10T,144,chronos2,0.650473103577329,1,0.650473103577329,34.952689642267096,1
10T,144,seasonal_naive,1.0,1,1.0,0.0,1
10T,18,chronos2,0.4982241238609957,1,0.4982241238609957,50.17758761390043,1
10T,18,seasonal_naive,1.0,1,1.0,0.0,1
