domain,chronos2,seasonal_naive
Climate,0.7117093989423036,1.0
Cloud operations,0.5936503488136183,1.0
Economics,0.6588118639283429,1.0
Energy,0.6105618611977047,1.0
Finance,0.9051626934009026,1.0
Healthcare,0.6352501786041488,1.0
Industry,0.7096220145537652,1.0
Sales,0.46229546950403494,1.0
Transport,0.7435129857632642,1.0
Unclassified,0.6798500647645618,1.0
