domain,chronos2,seasonal_naive
Climate,0.9580436667249207,1.2967233588656213
Cloud operations,0.6607650521734936,1.1130542641708217
Economics,1.1266165765973748,1.5100529345284794
Energy,0.611204170856088,0.9768271450011902
Finance,3.022744073553584,3.1614087442563563
Healthcare,2.687638735307393,4.230835072275004
Industry,0.7112449102497985,1.0022912568434859
Sales,0.6643116271025303,1.417075708263092
Transport,0.6739529592639684,0.9048099084360193
Unclassified,0.6960750459951832,1.0240696332644776
