model,tasks,relative_improvement_percent,relative_scaled_improvement_percent,mean_paired_improvement_percent,paired_percentage_tasks
chronos2,74,26.55688060932827,30.995459463613273,29.202155180954495,74
seasonal_naive,74,0.0,0.0,0.0,74
