frequency,horizon_steps,model,mean_loss,tasks,mean_loss_ratio,mean_paired_improvement_percent,relative_tasks
H,168,chronos2,1.1406693759019333,6,0.784603263384173,21.539673661582697,6
H,168,seasonal_naive,1.4671506808942851,6,1.0,0.0,6
H,72,chronos2,0.9992641877132696,3,0.8219436950532267,17.80563049467733,3
H,72,seasonal_naive,1.2122443164884513,3,1.0,0.0,3
H,24,chronos2,0.7939404318677564,6,0.725444457072654,27.45555429273459,6
H,24,seasonal_naive,1.0795159059965374,6,1.0,0.0,6
15T,288,chronos2,1.1881788167629923,3,0.8178296552214412,18.21703447785588,3
15T,288,seasonal_naive,1.4377776082974225,3,1.0,0.0,3
15T,96,chronos2,0.8713804527456914,4,0.7738932643544416,22.61067356455584,4
15T,96,seasonal_naive,1.1110265992200425,4,1.0,0.0,4
15T,12,chronos2,0.8156416298943496,2,0.6429367654304209,35.70632345695791,2
15T,12,seasonal_naive,1.2196736793714382,2,1.0,0.0,2
20T,216,chronos2,1.2180074993449521,2,0.7721222478188259,22.787775218117407,2
20T,216,seasonal_naive,1.5807256687551896,2,1.0,0.0,2
20T,72,chronos2,0.8596783985167737,2,0.7442095172130145,25.579048278698544,2
20T,72,seasonal_naive,1.1503375327528216,2,1.0,0.0,2
20T,9,chronos2,0.478213758459762,2,0.4219034376988341,57.80965623011659,2
20T,9,seasonal_naive,1.1469917010676833,2,1.0,0.0,2
5T,864,chronos2,1.0510974483697046,2,0.8116659487572302,18.833405124276975,2
5T,864,seasonal_naive,1.2868658344947899,2,1.0,0.0,2
5T,288,chronos2,0.7317659541915642,6,0.7207117242686504,27.92882757313497,6
5T,288,seasonal_naive,1.0094901101723377,6,1.0,0.0,6
5T,36,chronos2,0.5801462210364146,2,0.527644449562621,47.23555504373789,2
5T,36,seasonal_naive,1.064354819823186,2,1.0,0.0,2
H,336,chronos2,1.4545138563667994,3,0.7540775457430651,24.59224542569349,3
H,336,seasonal_naive,1.875708000557646,3,1.0,0.0,3
D,30,chronos2,2.011584922387149,4,0.6218730923028679,37.8126907697132,4
D,30,seasonal_naive,2.5185119077420626,4,1.0,0.0,4
15T,672,chronos2,0.7839039420360605,1,0.805583445825203,19.441655417479698,1
15T,672,seasonal_naive,0.9730884442803625,1,1.0,0.0,1
15T,24,chronos2,0.5410549755223345,1,0.5939734485800114,40.60265514199885,1
15T,24,seasonal_naive,0.9109076791493171,1,1.0,0.0,1
W,13,chronos2,2.203602107970035,3,0.8631155642047014,13.688443579529851,3
W,13,seasonal_naive,2.6425946504339985,3,1.0,0.0,3
Q,4,chronos2,1.1879383166472257,2,0.7555140016201294,24.44859983798706,2
Q,4,seasonal_naive,1.5678706792128547,2,1.0,0.0,2
M,12,chronos2,0.7959340559901036,5,0.6311365892585067,36.886341074149335,5
M,12,seasonal_naive,1.3109876709839547,5,1.0,0.0,5
5T,576,chronos2,0.6686335696286634,1,0.7697031603954076,23.029683960459234,1
5T,576,seasonal_naive,0.8686901704875118,1,1.0,0.0,1
5T,48,chronos2,0.6363861150921641,2,0.6474963957890683,35.25036042109318,2
5T,48,seasonal_naive,0.9928383694307895,2,1.0,0.0,2
B,20,chronos2,1.4194089082970374,2,0.8570818292790987,14.291817072090137,2
B,20,seasonal_naive,1.6573284799588262,2,1.0,0.0,2
5T,96,chronos2,0.5801664817821864,1,0.5676356985687455,43.236430143125446,1
5T,96,seasonal_naive,1.0220753966761364,1,1.0,0.0,1
5T,24,chronos2,0.38256966810718757,1,0.3744558321278641,62.55441678721358,1
5T,24,seasonal_naive,1.021668339182264,1,1.0,0.0,1
D,14,chronos2,0.8996563650699254,1,0.757408476991288,24.2591523008712,1
D,14,seasonal_naive,1.1878086823687262,1,1.0,0.0,1
D,7,chronos2,0.8880768388465542,1,0.7524136034517775,24.758639654822247,1
D,7,seasonal_naive,1.180304070490495,1,1.0,0.0,1
D,3,chronos2,0.8518474893871785,1,0.7968924694631168,20.310753053688323,1
D,3,seasonal_naive,1.0689616504483799,1,1.0,0.0,1
M,6,chronos2,0.3483185384775645,1,0.3595686470735416,64.04313529264584,1
M,6,seasonal_naive,0.9687122092330922,1,1.0,0.0,1
15T,16,chronos2,0.6094823944099157,1,0.5606183090187876,43.938169098121236,1
15T,16,seasonal_naive,1.0871610587899843,1,1.0,0.0,1
10T,432,chronos2,0.9316454809403314,1,0.6481012388791804,35.18987611208196,1
10T,432,seasonal_naive,1.437499922931037,1,1.0,0.0,1
10T,144,chronos2,0.6789060806388872,1,0.650473103577329,34.952689642267096,1
10T,144,seasonal_naive,1.0437112263446233,1,1.0,0.0,1
10T,18,chronos2,0.5194504740187809,1,0.4982241238609957,50.17758761390043,1
10T,18,seasonal_naive,1.042604019237951,1,1.0,0.0,1
