frequency,horizon_steps,best_mean_loss,winners,comparable,tasks_per_model
H,168,0.7878928660394265,"[""chronos2""]",True,6
H,72,0.832079516391905,"[""chronos2""]",True,3
H,24,0.7326612075970645,"[""chronos2""]",True,6
15T,288,0.8212584098687591,"[""chronos2""]",True,3
15T,96,0.7768883736465491,"[""chronos2""]",True,4
15T,12,0.6433876972441147,"[""chronos2""]",True,2
20T,216,0.8459107464398465,"[""chronos2""]",True,2
20T,72,0.7696197325784284,"[""chronos2""]",True,2
20T,9,0.4122473707131683,"[""chronos2""]",True,2
5T,864,0.801824171953929,"[""chronos2""]",True,2
5T,288,0.7177667595542436,"[""chronos2""]",True,6
5T,36,0.5258291776208794,"[""chronos2""]",True,2
H,336,0.754264630930589,"[""chronos2""]",True,3
D,30,0.6307986110411444,"[""chronos2""]",True,4
15T,672,0.7779419960413352,"[""chronos2""]",True,1
15T,24,0.5855899091498685,"[""chronos2""]",True,1
W,13,0.8705178519176796,"[""chronos2""]",True,3
Q,4,0.8097504992608668,"[""chronos2""]",True,2
M,12,0.6563313134978335,"[""chronos2""]",True,5
5T,576,0.7647105240093246,"[""chronos2""]",True,1
5T,48,0.6452590724237032,"[""chronos2""]",True,2
B,20,0.8653641927643824,"[""chronos2""]",True,2
5T,96,0.5678251586672486,"[""chronos2""]",True,1
5T,24,0.37876226061632307,"[""chronos2""]",True,1
D,14,0.7566460219756559,"[""chronos2""]",True,1
D,7,0.7497818803392814,"[""chronos2""]",True,1
D,3,0.7954173532008473,"[""chronos2""]",True,1
M,6,0.342724932030673,"[""chronos2""]",True,1
15T,16,0.5606733543922628,"[""chronos2""]",True,1
10T,432,0.6505192676677409,"[""chronos2""]",True,1
10T,144,0.6621977332228386,"[""chronos2""]",True,1
10T,18,0.5067164633481785,"[""chronos2""]",True,1
