domain,chronos2,seasonal_naive
Climate,0.9685105144783576,1.2967233588656215
Cloud operations,0.6571249748882112,1.1130542641708217
Economics,1.169610582207067,1.5100529345284794
Energy,0.6050536709931035,0.9768271450011902
Finance,3.093186798534516,3.1614087442563563
Healthcare,2.702738655499249,4.230835072275004
Industry,0.7114176783222691,1.0022912568434856
Sales,0.6635849399110642,1.417075708263092
Transport,0.6720865555816784,0.9048099084360193
Unclassified,0.6930034145575489,1.0240696332644776
