frequency,horizon_steps,best_mean_loss,winners,comparable,tasks_per_model
H,168,1.145202158116603,"[""chronos2""]",True,6
H,72,1.0121301656466173,"[""chronos2""]",True,3
H,24,0.8016658408321872,"[""chronos2""]",True,6
15T,288,1.193466078192793,"[""chronos2""]",True,3
15T,96,0.8753889528044564,"[""chronos2""]",True,4
15T,12,0.8159347485774019,"[""chronos2""]",True,2
20T,216,1.3511827059307162,"[""chronos2""]",True,2
20T,72,0.8885596617195844,"[""chronos2""]",True,2
20T,9,0.4650444022313933,"[""chronos2""]",True,2
5T,864,1.0400366539440116,"[""chronos2""]",True,2
5T,288,0.7287650927384961,"[""chronos2""]",True,6
5T,36,0.5784283571741029,"[""chronos2""]",True,2
H,336,1.4564209921423272,"[""chronos2""]",True,3
D,30,2.0600523879426866,"[""chronos2""]",True,4
15T,672,0.7570063666682227,"[""chronos2""]",True,1
15T,24,0.5334183450769662,"[""chronos2""]",True,1
W,13,2.2256099121266404,"[""chronos2""]",True,3
Q,4,1.2811487269409008,"[""chronos2""]",True,2
M,12,0.8182641476057706,"[""chronos2""]",True,5
5T,576,0.6642965154752547,"[""chronos2""]",True,1
5T,48,0.6340406283596065,"[""chronos2""]",True,2
B,20,1.4324229481081439,"[""chronos2""]",True,2
5T,96,0.5803601242875183,"[""chronos2""]",True,1
5T,24,0.3869694097487987,"[""chronos2""]",True,1
D,14,0.898750714382442,"[""chronos2""]",True,1
D,7,0.8849706053444711,"[""chronos2""]",True,1
D,3,0.8502706466728596,"[""chronos2""]",True,1
M,6,0.3320018260666946,"[""chronos2""]",True,1
15T,16,0.6095422375964246,"[""chronos2""]",True,1
10T,432,0.9351213971375323,"[""chronos2""]",True,1
10T,144,0.6911432082246386,"[""chronos2""]",True,1
10T,18,0.5283046213008509,"[""chronos2""]",True,1
