domain,chronos2,seasonal_naive
Climate,0.7173819139609119,1.0
Cloud operations,0.5903799985688403,1.0
Economics,0.682291255662077,1.0
Energy,0.6055524262919211,1.0
Finance,0.9198588568807088,1.0
Healthcare,0.6388191951065427,1.0
Industry,0.7097943465582347,1.0
Sales,0.4626041447564274,1.0
Transport,0.741395150463021,1.0
Unclassified,0.6768717874036472,1.0
