model,tasks,mean_task_MASE,scaled_MASE,total_inference_seconds,timed_tasks,relative_improvement_percent,relative_scaled_improvement_percent,mean_paired_improvement_percent,paired_percentage_tasks,reference_mean_loss,reference_total_inference_seconds
chronos2__experiment_config.instance_normalization-none,98,1.040928013223042,0.6854886145419167,434.594010906294,98,26.82763902337615,31.451138545808334,29.64815303796254,98,1.422569942161063,654.5789251364768
chronos2__experiment_config.instance_normalization-zscore,98,1.0409280432893155,0.6854886291062854,431.70691291615367,98,26.827636909858033,31.45113708937146,29.64815148310735,98,1.422569942161063,654.5789251364768
chronos_bolt__experiment_config.instance_normalization-none,98,1.153441992435548,0.7595590358327292,945.5971262510866,98,18.918433586237292,24.04409641672708,21.793034506466558,98,1.422569942161063,654.5789251364768
chronos_bolt__experiment_config.instance_normalization-zscore,98,1.153441157324319,0.7595584648885775,1001.5771563155577,98,18.918492290642895,24.04415351114225,21.79310694588444,98,1.422569942161063,654.5789251364768
ts_icl__experiment_config.instance_normalization-none,98,1.081982008767681,0.7183939833143376,2681.1029870943166,98,23.94173553786648,28.160601668566244,26.412548092079334,98,1.422569942161063,654.5789251364768
ts_icl__experiment_config.instance_normalization-zscore,98,1.0819819993605961,0.7183939722635276,2686.795675659552,98,23.94173619914046,28.160602773647238,26.41254947015186,98,1.422569942161063,654.5789251364768
seasonal_naive,98,1.4225699421610631,1.0,654.5789251364768,98,0.0,0.0,0.0,98,1.4225699421610631,654.5789251364768
