frequency,horizon_steps,model,mean_loss,tasks,mean_loss_ratio,mean_paired_improvement_percent,relative_tasks
H,168,chronos2__experiment_config.instance_normalization-none,1.2598891641781522,8,0.7791204109064921,22.087958909350796,8
H,168,chronos2__experiment_config.instance_normalization-zscore,1.259889182990839,8,0.7791204194424577,22.087958055754235,8
H,168,chronos_bolt__experiment_config.instance_normalization-none,1.350748977991723,8,0.8282260694431822,17.17739305568177,8
H,168,chronos_bolt__experiment_config.instance_normalization-zscore,1.3507488759612403,8,0.8282260170922116,17.177398290778847,8
H,168,ts_icl__experiment_config.instance_normalization-none,1.2492086103447686,8,0.7702088878793841,22.979111212061582,8
H,168,ts_icl__experiment_config.instance_normalization-zscore,1.2492086311364052,8,0.7702089026972205,22.979109730277937,8
H,168,seasonal_naive,1.6282521747105798,8,1.0,0.0,8
H,72,chronos2__experiment_config.instance_normalization-none,1.0518876119639509,4,0.7787522310100302,22.12477689899698,4
H,72,chronos2__experiment_config.instance_normalization-zscore,1.0518876347529087,4,0.7787522515591649,22.124774844083507,4
H,72,chronos_bolt__experiment_config.instance_normalization-none,1.088032744260315,4,0.8068460807035034,19.315391929649664,4
H,72,chronos_bolt__experiment_config.instance_normalization-zscore,1.0880327347666203,4,0.8068460743653244,19.31539256346756,4
H,72,ts_icl__experiment_config.instance_normalization-none,1.0403364787495701,4,0.770811903816519,22.9188096183481,4
H,72,ts_icl__experiment_config.instance_normalization-zscore,1.0403364696048798,4,0.7708118946439573,22.918810535604273,4
H,72,seasonal_naive,1.3750640069572717,4,1.0,0.0,4
H,24,chronos2__experiment_config.instance_normalization-none,0.8705207036187864,8,0.7277451647801554,27.225483521984454,8
H,24,chronos2__experiment_config.instance_normalization-zscore,0.8705207178535819,8,0.7277451808152531,27.2254819184747,8
H,24,chronos_bolt__experiment_config.instance_normalization-none,0.9206763922856748,8,0.7714311421118379,22.85688578881621,8
H,24,chronos_bolt__experiment_config.instance_normalization-zscore,0.9206764138475082,8,0.7714311550801775,22.856884491982257,8
H,24,ts_icl__experiment_config.instance_normalization-none,0.8798926067012456,8,0.7370858262977475,26.29141737022524,8
H,24,ts_icl__experiment_config.instance_normalization-zscore,0.8798925846301588,8,0.7370858057198311,26.291419428016894,8
H,24,seasonal_naive,1.1826760462097838,8,1.0,0.0,8
M,12,chronos2__experiment_config.instance_normalization-none,0.8685351960517799,8,0.6650741606716069,33.49258393283932,8
M,12,chronos2__experiment_config.instance_normalization-zscore,0.8685351877347538,8,0.6650741444834456,33.492585551655445,8
M,12,chronos_bolt__experiment_config.instance_normalization-none,0.952060570953458,8,0.7414470671220668,25.855293287793316,8
M,12,chronos_bolt__experiment_config.instance_normalization-zscore,0.9520605885517996,8,0.7414470801878583,25.85529198121417,8
M,12,ts_icl__experiment_config.instance_normalization-none,0.9143115410356683,8,0.7105841916878711,28.94158083121289,8
M,12,ts_icl__experiment_config.instance_normalization-zscore,0.9143116080198915,8,0.7105842236973113,28.941577630268867,8
M,12,seasonal_naive,1.3215174832751062,8,1.0,0.0,8
15T,288,chronos2__experiment_config.instance_normalization-none,1.1803634960365605,4,0.7991681711329999,20.08318288670001,4
15T,288,chronos2__experiment_config.instance_normalization-zscore,1.1803635693931558,4,0.7991682262019232,20.083177379807683,4
15T,288,chronos_bolt__experiment_config.instance_normalization-none,1.2522968394228138,4,0.8508389612170872,14.916103878291272,4
15T,288,chronos_bolt__experiment_config.instance_normalization-zscore,1.2522968796305733,4,0.8508389994699259,14.916100053007408,4
15T,288,ts_icl__experiment_config.instance_normalization-none,1.2334843095280508,4,0.8346550702104396,16.534492978956038,4
15T,288,ts_icl__experiment_config.instance_normalization-zscore,1.233484096097286,4,0.834654890632971,16.5345109367029,4
15T,288,seasonal_naive,1.4675093629679825,4,1.0,0.0,4
15T,96,chronos2__experiment_config.instance_normalization-none,0.802170323092369,7,0.730684263112438,26.931573688756192,7
15T,96,chronos2__experiment_config.instance_normalization-zscore,0.802170317178991,7,0.7306842631804172,26.931573681958273,7
15T,96,chronos_bolt__experiment_config.instance_normalization-none,0.8458501118663478,7,0.7767941101289886,22.320588987101136,7
15T,96,chronos_bolt__experiment_config.instance_normalization-zscore,0.8458501015008384,7,0.7767940851721761,22.320591482782387,7
15T,96,ts_icl__experiment_config.instance_normalization-none,0.8437580806464708,7,0.7692211533969002,23.077884660309973,7
15T,96,ts_icl__experiment_config.instance_normalization-zscore,0.8437580399107484,7,0.7692211111642665,23.077888883573337,7
15T,96,seasonal_naive,1.07802087941844,7,1.0,0.0,7
15T,12,chronos2__experiment_config.instance_normalization-none,0.7608305516010235,3,0.5872200656701692,41.27799343298309,3
15T,12,chronos2__experiment_config.instance_normalization-zscore,0.7608305580185623,3,0.5872200685032234,41.27799314967766,3
15T,12,chronos_bolt__experiment_config.instance_normalization-none,0.7733880336190172,3,0.5986830877494864,40.13169122505136,3
15T,12,chronos_bolt__experiment_config.instance_normalization-zscore,0.7733879261893787,3,0.5986829984851089,40.13170015148911,3
15T,12,ts_icl__experiment_config.instance_normalization-none,0.7737515522907437,3,0.5982186315441853,40.17813684558147,3
15T,12,ts_icl__experiment_config.instance_normalization-zscore,0.7737515783567145,3,0.598218655503167,40.1781344496833,3
15T,12,seasonal_naive,1.2693485486355234,3,1.0,0.0,3
30T,144,chronos2__experiment_config.instance_normalization-none,1.7964635512898783,1,0.807887085239443,19.211291476055703,1
