frequency,horizon_steps,model,mean_loss,tasks,mean_loss_ratio,mean_paired_improvement_percent,relative_tasks
H,168,chronos2__experiment_config.instance_normalization-none,0.7791204109064921,8,0.7791204109064921,22.087958909350796,8
H,168,chronos2__experiment_config.instance_normalization-zscore,0.7791204194424577,8,0.7791204194424577,22.087958055754235,8
H,168,chronos_bolt__experiment_config.instance_normalization-none,0.8282260694431822,8,0.8282260694431822,17.17739305568177,8
H,168,chronos_bolt__experiment_config.instance_normalization-zscore,0.8282260170922116,8,0.8282260170922116,17.177398290778847,8
H,168,ts_icl__experiment_config.instance_normalization-none,0.7702088878793841,8,0.7702088878793841,22.979111212061582,8
H,168,ts_icl__experiment_config.instance_normalization-zscore,0.7702089026972205,8,0.7702089026972205,22.979109730277937,8
H,168,seasonal_naive,1.0,8,1.0,0.0,8
H,72,chronos2__experiment_config.instance_normalization-none,0.7787522310100302,4,0.7787522310100302,22.12477689899698,4
H,72,chronos2__experiment_config.instance_normalization-zscore,0.7787522515591649,4,0.7787522515591649,22.124774844083507,4
H,72,chronos_bolt__experiment_config.instance_normalization-none,0.8068460807035034,4,0.8068460807035034,19.315391929649664,4
H,72,chronos_bolt__experiment_config.instance_normalization-zscore,0.8068460743653244,4,0.8068460743653244,19.31539256346756,4
H,72,ts_icl__experiment_config.instance_normalization-none,0.770811903816519,4,0.770811903816519,22.9188096183481,4
H,72,ts_icl__experiment_config.instance_normalization-zscore,0.7708118946439573,4,0.7708118946439573,22.918810535604273,4
H,72,seasonal_naive,1.0,4,1.0,0.0,4
H,24,chronos2__experiment_config.instance_normalization-none,0.7277451647801554,8,0.7277451647801554,27.225483521984454,8
H,24,chronos2__experiment_config.instance_normalization-zscore,0.7277451808152531,8,0.7277451808152531,27.2254819184747,8
H,24,chronos_bolt__experiment_config.instance_normalization-none,0.7714311421118379,8,0.7714311421118379,22.85688578881621,8
H,24,chronos_bolt__experiment_config.instance_normalization-zscore,0.7714311550801775,8,0.7714311550801775,22.856884491982257,8
H,24,ts_icl__experiment_config.instance_normalization-none,0.7370858262977475,8,0.7370858262977475,26.29141737022524,8
H,24,ts_icl__experiment_config.instance_normalization-zscore,0.7370858057198311,8,0.7370858057198311,26.291419428016894,8
H,24,seasonal_naive,1.0,8,1.0,0.0,8
M,12,chronos2__experiment_config.instance_normalization-none,0.6650741606716069,8,0.6650741606716069,33.49258393283932,8
M,12,chronos2__experiment_config.instance_normalization-zscore,0.6650741444834456,8,0.6650741444834456,33.492585551655445,8
M,12,chronos_bolt__experiment_config.instance_normalization-none,0.7414470671220668,8,0.7414470671220668,25.855293287793316,8
M,12,chronos_bolt__experiment_config.instance_normalization-zscore,0.7414470801878583,8,0.7414470801878583,25.85529198121417,8
M,12,ts_icl__experiment_config.instance_normalization-none,0.7105841916878711,8,0.7105841916878711,28.94158083121289,8
M,12,ts_icl__experiment_config.instance_normalization-zscore,0.7105842236973113,8,0.7105842236973113,28.941577630268867,8
M,12,seasonal_naive,1.0,8,1.0,0.0,8
15T,288,chronos2__experiment_config.instance_normalization-none,0.7991681711329999,4,0.7991681711329999,20.08318288670001,4
15T,288,chronos2__experiment_config.instance_normalization-zscore,0.7991682262019232,4,0.7991682262019232,20.083177379807683,4
15T,288,chronos_bolt__experiment_config.instance_normalization-none,0.8508389612170872,4,0.8508389612170872,14.916103878291272,4
15T,288,chronos_bolt__experiment_config.instance_normalization-zscore,0.8508389994699259,4,0.8508389994699259,14.916100053007408,4
15T,288,ts_icl__experiment_config.instance_normalization-none,0.8346550702104396,4,0.8346550702104396,16.534492978956038,4
15T,288,ts_icl__experiment_config.instance_normalization-zscore,0.834654890632971,4,0.834654890632971,16.5345109367029,4
15T,288,seasonal_naive,1.0,4,1.0,0.0,4
15T,96,chronos2__experiment_config.instance_normalization-none,0.730684263112438,7,0.730684263112438,26.931573688756192,7
15T,96,chronos2__experiment_config.instance_normalization-zscore,0.7306842631804172,7,0.7306842631804172,26.931573681958273,7
15T,96,chronos_bolt__experiment_config.instance_normalization-none,0.7767941101289886,7,0.7767941101289886,22.320588987101136,7
15T,96,chronos_bolt__experiment_config.instance_normalization-zscore,0.7767940851721761,7,0.7767940851721761,22.320591482782387,7
15T,96,ts_icl__experiment_config.instance_normalization-none,0.7692211533969002,7,0.7692211533969002,23.077884660309973,7
15T,96,ts_icl__experiment_config.instance_normalization-zscore,0.7692211111642665,7,0.7692211111642665,23.077888883573337,7
15T,96,seasonal_naive,1.0,7,1.0,0.0,7
15T,12,chronos2__experiment_config.instance_normalization-none,0.5872200656701692,3,0.5872200656701692,41.27799343298309,3
15T,12,chronos2__experiment_config.instance_normalization-zscore,0.5872200685032234,3,0.5872200685032234,41.27799314967766,3
15T,12,chronos_bolt__experiment_config.instance_normalization-none,0.5986830877494864,3,0.5986830877494864,40.13169122505136,3
15T,12,chronos_bolt__experiment_config.instance_normalization-zscore,0.5986829984851089,3,0.5986829984851089,40.13170015148911,3
15T,12,ts_icl__experiment_config.instance_normalization-none,0.5982186315441853,3,0.5982186315441853,40.17813684558147,3
15T,12,ts_icl__experiment_config.instance_normalization-zscore,0.598218655503167,3,0.598218655503167,40.1781344496833,3
15T,12,seasonal_naive,1.0,3,1.0,0.0,3
30T,144,chronos2__experiment_config.instance_normalization-none,0.807887085239443,1,0.807887085239443,19.211291476055703,1
30T,144,chronos2__experiment_config.instance_normalization-zscore,0.8078870994642477,1,0.8078870994642477,19.211290053575226,1
30T,144,chronos_bolt__experiment_config.instance_normalization-none,0.8616183314352175,1,0.8616183314352175,13.838166856478251,1
30T,144,chronos_bolt__experiment_config.instance_normalization-zscore,0.8616183149626141,1,0.8616183149626141,13.83816850373859,1
30T,144,ts_icl__experiment_config.instance_normalization-none,0.8182145702861777,1,0.8182145702861777,18.178542971382228,1
30T,144,ts_icl__experiment_config.instance_normalization-zscore,0.8182145528854596,1,0.8182145528854596,18.178544711454037,1
30T,144,seasonal_naive,1.0,1,1.0,0.0,1
30T,48,chronos2__experiment_config.instance_normalization-none,0.801888244042546,1,0.801888244042546,19.8111755957454,1
30T,48,chronos2__experiment_config.instance_normalization-zscore,0.8018882392055521,1,0.8018882392055521,19.81117607944479,1
30T,48,chronos_bolt__experiment_config.instance_normalization-none,0.8289752552869808,1,0.8289752552869808,17.10247447130192,1
30T,48,chronos_bolt__experiment_config.instance_normalization-zscore,0.8289752413786411,1,0.8289752413786411,17.10247586213589,1
30T,48,ts_icl__experiment_config.instance_normalization-none,0.8201260717400357,1,0.8201260717400357,17.98739282599643,1
30T,48,ts_icl__experiment_config.instance_normalization-zscore,0.8201260717931961,1,0.8201260717931961,17.98739282068039,1
30T,48,seasonal_naive,1.0,1,1.0,0.0,1
30T,12,chronos2__experiment_config.instance_normalization-none,0.7148483192029693,1,0.7148483192029693,28.515168079703066,1
30T,12,chronos2__experiment_config.instance_normalization-zscore,0.7148483221873809,1,0.7148483221873809,28.51516778126191,1
30T,12,chronos_bolt__experiment_config.instance_normalization-none,0.732881912033338,1,0.732881912033338,26.711808796666205,1
30T,12,chronos_bolt__experiment_config.instance_normalization-zscore,0.7328818999422371,1,0.7328818999422371,26.711810005776293,1
30T,12,ts_icl__experiment_config.instance_normalization-none,0.723784866365089,1,0.723784866365089,27.6215133634911,1
30T,12,ts_icl__experiment_config.instance_normalization-zscore,0.7237848541817762,1,0.7237848541817762,27.62151458182238,1
30T,12,seasonal_naive,1.0,1,1.0,0.0,1
