frequency,horizon_steps,best_mean_loss,winners,comparable,tasks_per_model
H,168,0.7702088878793841,"[""ts_icl__experiment_config.instance_normalization-none""]",True,8
H,72,0.7708118946439573,"[""ts_icl__experiment_config.instance_normalization-zscore""]",True,4
H,24,0.7277451647801554,"[""chronos2__experiment_config.instance_normalization-none""]",True,8
M,12,0.6650741444834456,"[""chronos2__experiment_config.instance_normalization-zscore""]",True,8
15T,288,0.7991681711329999,"[""chronos2__experiment_config.instance_normalization-none""]",True,4
15T,96,0.730684263112438,"[""chronos2__experiment_config.instance_normalization-none"", ""chronos2__experiment_config.instance_normalization-zscore""]",True,7
15T,12,0.5872200656701692,"[""chronos2__experiment_config.instance_normalization-none""]",True,3
30T,144,0.807887085239443,"[""chronos2__experiment_config.instance_normalization-none""]",True,1
30T,48,0.8018882392055521,"[""chronos2__experiment_config.instance_normalization-zscore""]",True,1
30T,12,0.7148483192029693,"[""chronos2__experiment_config.instance_normalization-none""]",True,1
H,336,0.7659505267675935,"[""ts_icl__experiment_config.instance_normalization-none""]",True,4
20T,216,0.7721222478188259,"[""chronos2__experiment_config.instance_normalization-none""]",True,2
20T,72,0.744209460795773,"[""chronos2__experiment_config.instance_normalization-zscore""]",True,2
20T,9,0.4219034376988341,"[""chronos2__experiment_config.instance_normalization-none""]",True,2
5T,864,0.8116659487572302,"[""chronos2__experiment_config.instance_normalization-none""]",True,2
5T,288,0.7207117242686504,"[""chronos2__experiment_config.instance_normalization-none""]",True,6
5T,36,0.527644415568178,"[""chronos2__experiment_config.instance_normalization-zscore""]",True,2
D,30,0.6300872554403893,"[""chronos2__experiment_config.instance_normalization-zscore""]",True,6
W,13,0.8840525480038582,"[""chronos2__experiment_config.instance_normalization-none""]",True,4
15T,672,0.6647007713072783,"[""chronos2__experiment_config.instance_normalization-none""]",True,3
15T,24,0.5939734485800114,"[""chronos2__experiment_config.instance_normalization-none""]",True,1
15T,16,0.48921636195043955,"[""chronos2__experiment_config.instance_normalization-none""]",True,3
Q,4,0.7555139901228083,"[""chronos2__experiment_config.instance_normalization-zscore""]",True,2
5T,576,0.7697031577251601,"[""chronos2__experiment_config.instance_normalization-zscore""]",True,1
5T,48,0.6474963957890683,"[""chronos2__experiment_config.instance_normalization-none""]",True,2
B,20,0.8570818227580329,"[""chronos2__experiment_config.instance_normalization-zscore""]",True,2
5T,96,0.567635697410459,"[""chronos2__experiment_config.instance_normalization-zscore""]",True,1
5T,24,0.37445582539317157,"[""chronos2__experiment_config.instance_normalization-zscore""]",True,1
D,14,0.757408476991288,"[""chronos2__experiment_config.instance_normalization-none""]",True,1
D,7,0.7524136034517775,"[""chronos2__experiment_config.instance_normalization-none""]",True,1
D,3,0.7968924684881439,"[""chronos2__experiment_config.instance_normalization-zscore""]",True,1
M,6,0.35778326875674127,"[""ts_icl__experiment_config.instance_normalization-none""]",True,1
10T,432,0.6481012388791804,"[""chronos2__experiment_config.instance_normalization-none""]",True,1
10T,144,0.650473103577329,"[""chronos2__experiment_config.instance_normalization-none""]",True,1
10T,18,0.4982241238609957,"[""chronos2__experiment_config.instance_normalization-none""]",True,1
