frequency,horizon_steps,best_mean_loss,winners,comparable,tasks_per_model
H,168,1.1406694296040742,"[""chronos2""]",True,6
H,72,0.9992641802730585,"[""chronos2""]",True,3
H,24,0.7939404638589246,"[""chronos2""]",True,6
15T,288,1.1881788040794625,"[""chronos2""]",True,3
15T,96,0.871380449832599,"[""chronos2""]",True,4
15T,12,0.8156416569054501,"[""chronos2""]",True,2
20T,216,1.2180074446431433,"[""chronos2""]",True,2
20T,72,0.8596784326598684,"[""chronos2""]",True,2
20T,9,0.4782137762013824,"[""chronos2""]",True,2
5T,864,1.0510974048820652,"[""chronos2""]",True,2
5T,288,0.731765953184102,"[""chronos2""]",True,6
5T,36,0.5801462256772489,"[""chronos2""]",True,2
H,336,1.454513887002397,"[""chronos2""]",True,3
D,30,2.0115849531887067,"[""chronos2""]",True,4
15T,672,0.783903940462814,"[""chronos2""]",True,1
15T,24,0.5410549753460259,"[""chronos2""]",True,1
W,13,2.2036022557641504,"[""chronos2""]",True,3
Q,4,1.187938339300112,"[""chronos2""]",True,2
M,12,0.7959339612928213,"[""chronos2""]",True,5
5T,576,0.6686335791603075,"[""chronos2""]",True,1
5T,48,0.6363861105049217,"[""chronos2""]",True,2
B,20,1.4194089580812492,"[""chronos2""]",True,2
5T,96,0.5801664831742741,"[""chronos2""]",True,1
5T,24,0.3825696629333263,"[""chronos2""]",True,1
D,14,0.8996563724561905,"[""chronos2""]",True,1
D,7,0.8880768540756543,"[""chronos2""]",True,1
D,3,0.8518474895420072,"[""chronos2""]",True,1
M,6,0.34831858713813474,"[""chronos2""]",True,1
15T,16,0.6094824190185418,"[""chronos2""]",True,1
10T,432,0.9316460162410004,"[""chronos2""]",True,1
10T,144,0.6789060087742972,"[""chronos2""]",True,1
10T,18,0.5194505333197549,"[""chronos2""]",True,1
