frequency,horizon_steps,model,mean_loss,tasks,mean_loss_ratio,mean_paired_improvement_percent,relative_tasks
H,168,chronos2,1.1406694296040742,6,0.7846032883644195,21.53967116355805,6
H,168,seasonal_naive,1.4671506808942854,6,1.0,0.0,6
H,72,chronos2,0.9992641802730585,3,0.821943688748379,17.805631125162108,3
H,72,seasonal_naive,1.2122443164884513,3,1.0,0.0,3
H,24,chronos2,0.7939404638589246,6,0.7254444841580349,27.455551584196524,6
H,24,seasonal_naive,1.0795159059965374,6,1.0,0.0,6
15T,288,chronos2,1.1881788040794625,3,0.8178296453239348,18.217035467606532,3
15T,288,seasonal_naive,1.4377776082974225,3,1.0,0.0,3
15T,96,chronos2,0.871380449832599,4,0.7738932628714135,22.610673712858652,4
15T,96,seasonal_naive,1.1110265992200425,4,1.0,0.0,4
15T,12,chronos2,0.8156416569054501,2,0.6429367877417649,35.706321225823515,2
15T,12,seasonal_naive,1.2196736793714382,2,1.0,0.0,2
20T,216,chronos2,1.2180074446431433,2,0.7721222137595802,22.78777862404197,2
20T,216,seasonal_naive,1.5807256687551896,2,1.0,0.0,2
20T,72,chronos2,0.8596784326598684,2,0.7442095492378983,25.57904507621017,2
20T,72,seasonal_naive,1.1503375327528216,2,1.0,0.0,2
20T,9,chronos2,0.4782137762013824,2,0.42190345030739196,57.8096549692608,2
20T,9,seasonal_naive,1.1469917010676833,2,1.0,0.0,2
5T,864,chronos2,1.0510974048820652,2,0.8116659103470374,18.833408965296268,2
5T,864,seasonal_naive,1.2868658344947899,2,1.0,0.0,2
5T,288,chronos2,0.731765953184102,6,0.7207117235490266,27.928827645097343,6
5T,288,seasonal_naive,1.0094901101723377,6,1.0,0.0,6
5T,36,chronos2,0.5801462256772489,2,0.5276444534484866,47.23555465515133,2
5T,36,seasonal_naive,1.064354819823186,2,1.0,0.0,2
H,336,chronos2,1.454513887002397,3,0.754077553234548,24.592244676545217,3
H,336,seasonal_naive,1.875708000557646,3,1.0,0.0,3
D,30,chronos2,2.0115849531887067,4,0.6218730983356138,37.81269016643862,4
D,30,seasonal_naive,2.5185119077420626,4,1.0,0.0,4
15T,672,chronos2,0.783903940462814,1,0.8055834442084471,19.44165557915529,1
15T,672,seasonal_naive,0.9730884442803625,1,1.0,0.0,1
15T,24,chronos2,0.5410549753460259,1,0.5939734483864587,40.60265516135413,1
15T,24,seasonal_naive,0.9109076791493171,1,1.0,0.0,1
W,13,chronos2,2.2036022557641504,3,0.8631156073210002,13.688439267899975,3
W,13,seasonal_naive,2.6425946504339985,3,1.0,0.0,3
Q,4,chronos2,1.187938339300112,2,0.7555140138191018,24.448598618089825,2
Q,4,seasonal_naive,1.5678706792128547,2,1.0,0.0,2
M,12,chronos2,0.7959339612928213,5,0.6311365195499835,36.88634804500165,5
M,12,seasonal_naive,1.3109876709839547,5,1.0,0.0,5
5T,576,chronos2,0.6686335791603075,1,0.7697031713678401,23.029682863215996,1
5T,576,seasonal_naive,0.8686901704875118,1,1.0,0.0,1
5T,48,chronos2,0.6363861105049217,2,0.6474963915900973,35.25036084099027,2
5T,48,seasonal_naive,0.9928383694307895,2,1.0,0.0,2
B,20,chronos2,1.4194089580812492,2,0.8570818612351812,14.291813876481891,2
B,20,seasonal_naive,1.6573284799588262,2,1.0,0.0,2
5T,96,chronos2,0.5801664831742741,1,0.5676356999307661,43.236430006923385,1
5T,96,seasonal_naive,1.0220753966761364,1,1.0,0.0,1
5T,24,chronos2,0.3825696629333263,1,0.3744558270637341,62.554417293626585,1
5T,24,seasonal_naive,1.021668339182264,1,1.0,0.0,1
D,14,chronos2,0.8996563724561905,1,0.7574084832096842,24.259151679031575,1
D,14,seasonal_naive,1.1878086823687262,1,1.0,0.0,1
D,7,chronos2,0.8880768540756543,1,0.7524136163544697,24.758638364553033,1
D,7,seasonal_naive,1.180304070490495,1,1.0,0.0,1
D,3,chronos2,0.8518474895420072,1,0.796892469607957,20.3107530392043,1
D,3,seasonal_naive,1.0689616504483799,1,1.0,0.0,1
M,6,chronos2,0.34831858713813474,1,0.3595686973057672,64.04313026942327,1
M,6,seasonal_naive,0.9687122092330922,1,1.0,0.0,1
15T,16,chronos2,0.6094824190185418,1,0.5606183316544642,43.938166834553584,1
15T,16,seasonal_naive,1.0871610587899843,1,1.0,0.0,1
10T,432,chronos2,0.9316460162410004,1,0.6481016112622744,35.18983887377256,1
10T,432,seasonal_naive,1.437499922931037,1,1.0,0.0,1
10T,144,chronos2,0.6789060087742972,1,0.6504730347224693,34.95269652775307,1
10T,144,seasonal_naive,1.0437112263446233,1,1.0,0.0,1
10T,18,chronos2,0.5194505333197549,1,0.4982241807387488,50.177581926125114,1
10T,18,seasonal_naive,1.042604019237951,1,1.0,0.0,1
