model,dataset,frequency,term,horizon_steps,MASE,scaled_MASE,inference_seconds,domain,reference_loss,reference_scaled_MASE,reference_inference_seconds,loss_ratio_to_reference,paired_improvement_percent
chronos2,Australia_Solar,H,long,168,1.2018281745126123,0.9416618511442288,0.2092613074928522,Climate,1.2762842341465261,1.0,0.36489084642380476,0.9416618511442288,5.833814885577116
chronos2,Australia_Solar,H,medium,72,1.1800124167717907,0.8682980074506915,0.4974846187978983,Climate,1.3589947306642882,1.0,0.6641839258372784,0.8682980074506915,13.170199254930848
chronos2,Australia_Solar,H,short,24,1.0801986215576171,0.8743228947714544,1.626800699159503,Climate,1.235468758758717,1.0,1.7007500659674406,0.8743228947714544,12.567710522854558
chronos2,Coastal_T_S,15T,long,288,1.3875581107601154,0.8707587642007973,0.35761615075170994,Climate,1.5935046166703226,1.0,0.7146508358418941,0.8707587642007973,12.924123579920266
chronos2,Coastal_T_S,15T,medium,96,1.249904498327334,0.8610019760282506,1.0552873704582453,Climate,1.4516859811322,1.0,1.338175474666059,0.8610019760282506,13.899802397174943
chronos2,Coastal_T_S,15T,short,12,1.1305421467327808,0.7807741631203355,8.66411024145782,Climate,1.447975868226236,1.0,7.751331891864538,0.7807741631203355,21.922583687966444
chronos2,Coastal_T_S,20T,long,216,1.4010791372080962,0.7623737013340763,0.10603905282914639,Climate,1.837785242009726,1.0,0.11135085113346577,0.7623737013340763,23.762629866592366
chronos2,Coastal_T_S,20T,medium,72,0.9893873247652253,0.7712892645100224,0.2047919798642397,Climate,1.2827707713444634,1.0,0.2132205916568637,0.7712892645100224,22.871073548997757
chronos2,Coastal_T_S,20T,short,9,0.4837238683743286,0.3784291897259098,1.7164015769958496,Climate,1.2782414293270614,1.0,1.2665154142305255,0.3784291897259098,62.15708102740902
chronos2,Coastal_T_S,5T,long,864,1.252382036034176,0.8456190568789844,1.5343530885875225,Climate,1.4810239029575263,1.0,6.789144224487245,0.8456190568789844,15.438094312101558
chronos2,Coastal_T_S,5T,medium,288,1.030877263252768,0.8435526763689123,4.075367270037532,Climate,1.222066258731106,1.0,10.081392582505941,0.8435526763689123,15.644732363108771
chronos2,Coastal_T_S,5T,short,36,0.7896222491456418,0.6481834190583823,31.480439951643348,Climate,1.2182080348379292,1.0,47.6121036214754,0.6481834190583823,35.18165809416177
chronos2,Coastal_T_S,H,long,336,2.2993970749811012,0.8687413044985622,0.6822547428309917,Climate,2.646814492501095,1.0,1.3289766171947122,0.8687413044985622,13.125869550143776
chronos2,Coastal_T_S,H,medium,168,1.6186084008630783,0.787644250251116,1.2619098983705044,Climate,2.05499932278695,1.0,1.804201859049499,0.787644250251116,21.235574974888404
chronos2,Coastal_T_S,H,short,24,0.9170105849553357,0.7610451411813391,6.554630963131785,Climate,1.204935864293014,1.0,7.276267562992871,0.7610451411813391,23.895485881866087
chronos2,Crypto,D,short,30,6.229414404066677,1.0097000501280702,0.22108052670955658,Finance,6.169569272851417,1.0,0.13141694758087397,1.0097000501280702,-0.9700050128070181
chronos2,EWELD_Load,15T,long,672,0.7839039420360605,0.805583445825203,0.09817030094563961,Energy,0.9730884442803625,1.0,0.3245005141943693,0.805583445825203,19.441655417479698
chronos2,EWELD_Load,15T,medium,96,0.6517499017231616,0.7156200869243586,0.6486163232475519,Energy,0.9107484734313388,1.0,0.8178674932569265,0.7156200869243586,28.437991307564136
chronos2,EWELD_Load,15T,short,24,0.5410549755223345,0.5939734485800114,2.8353463914245367,Energy,0.9109076791493171,1.0,2.7549216523766518,0.5939734485800114,40.60265514199885
chronos2,Global_Influenza,W,short,13,2.687638735307393,0.6352501786041488,0.23642339929938316,Healthcare,4.230835072275004,1.0,0.980701144784689,0.6352501786041488,36.47498213958512
chronos2,Global_Price,Q,short,4,1.427177654123309,0.7670994049743153,0.19694523885846138,Economics,1.8604859355497676,1.0,1.0117378337308764,0.7670994049743153,23.29005950256847
chronos2,Housing_Inventory,M,short,12,0.5298324093950973,0.7746001702407476,0.24036205746233463,Economics,0.6840076077319015,1.0,0.04277162812650204,0.7746001702407476,22.539982975925245
chronos2,JOLTS,M,short,12,0.9042078797292128,0.5364326507424232,0.18553419783711433,Economics,1.68559441428069,1.0,0.12435972783714533,0.5364326507424232,46.35673492575768
chronos2,Job_Claims,W,short,13,3.14383480240003,1.1552232026779394,0.358265221118927,Economics,2.721408984092651,1.0,0.03477336373180151,1.1552232026779394,-15.522320267793944
chronos2,MetroPT-3,5T,long,576,0.6686335696286634,0.7697031603954076,0.08953911624848843,Transport,0.8686901704875118,1.0,0.25579052697867155,0.7697031603954076,23.029683960459234
chronos2,MetroPT-3,5T,medium,288,0.6510332169597657,0.7627195008885047,0.1738372351974249,Transport,0.8535683382965379,1.0,0.3266339413821697,0.7627195008885047,23.72804991114953
chronos2,MetroPT-3,5T,short,48,0.6120071780108346,0.7013424427645181,1.4644853547215462,Transport,0.8726224746907574,1.0,1.0416007470339537,0.7013424427645181,29.865755723548194
chronos2,NE_China_Wind,H,long,168,1.203564641776657,0.9042069727404326,0.09432352520525455,Climate,1.3310720643183538,1.0,0.10292179975658655,0.9042069727404326,9.57930272595674
chronos2,NE_China_Wind,H,medium,72,0.8915087697288963,0.8160283807582627,0.17510223016142845,Climate,1.092497259593467,1.0,0.18750894628465176,0.8160283807582627,18.397161924173734
chronos2,NE_China_Wind,H,short,24,0.49645280308376133,0.5965490516104354,0.6853613313287497,Climate,0.8322078490336116,1.0,0.45941207837313414,0.5965490516104354,40.34509483895646
chronos2,Oil_Price,B,short,20,1.3434109152905664,0.866901838908831,1.2847815807908773,Finance,1.5496690109476723,1.0,12.918505388312042,0.866901838908831,13.309816109116902
chronos2,OpenElectricity_NEM,5T,long,288,0.7277800559655977,0.7117830610199366,0.6846681535243988,Energy,1.0224745372877215,1.0,1.473781293258071,0.7117830610199366,28.82169389800634
chronos2,OpenElectricity_NEM,5T,medium,96,0.5801664817821864,0.5676356985687455,2.0296181924641132,Energy,1.0220753966761364,1.0,2.961383949033916,0.5676356985687455,43.236430143125446
chronos2,OpenElectricity_NEM,5T,short,24,0.38256966810718757,0.3744558321278641,8.331194153055549,Energy,1.021668339182264,1.0,9.567372966557741,0.3744558321278641,62.55441678721358
chronos2,Port_Activity,D,short,30,0.6587580455178945,0.6907909446775197,3.233731197193265,Transport,0.9536286637709488,1.0,8.336052159778774,0.6907909446775197,30.92090553224803
chronos2,Port_Activity,W,short,13,0.7793327862026835,0.7988733113320162,0.5662861112505198,Transport,0.9755398949343401,1.0,3.622349251061678,0.7988733113320162,20.112668866798376
chronos2,SG_PM25,H,long,168,0.9613872795889807,0.7446972215904354,0.309253741055727,Climate,1.2909773955323274,1.0,0.5450284564867616,0.7446972215904354,25.53027784095646
chronos2,SG_PM25,H,medium,72,0.9262713766391221,0.7815046969507259,0.6859551072120667,Climate,1.1852409592075988,1.0,0.9929322004318237,0.7815046969507259,21.849530304927413
chronos2,SG_PM25,H,short,24,0.8697938508370043,0.7421402495275882,2.3326251953840256,Climate,1.1720073818805468,1.0,2.6252891682088375,0.7421402495275882,25.785975047241184
chronos2,SG_Weather,D,long,14,0.8996563650699254,0.757408476991288,1.0780857764184475,Climate,1.1878086823687262,1.0,2.067176808603108,0.757408476991288,24.2591523008712
chronos2,SG_Weather,D,medium,7,0.8880768388465542,0.7524136034517775,2.054559201002121,Climate,1.180304070490495,1.0,3.9589907936751842,0.7524136034517775,24.758639654822247
chronos2,SG_Weather,D,short,3,0.8518474893871785,0.7968924694631168,4.8377490527927876,Climate,1.0689616504483799,1.0,9.068410464562476,0.7968924694631168,20.310753053688323
chronos2,Smart_Manufacturing,H,long,336,0.7110117882880749,0.7094252865029487,0.206599248573184,Industry,1.0022363197581337,1.0,1.5732318125665188,0.7094252865029487,29.057471349705132
chronos2,Smart_Manufacturing,H,medium,168,0.7112583040053169,0.7070750885992407,0.3409959189593792,Industry,1.0059162251273246,1.0,2.0938354451209307,0.7070750885992407,29.292491140075928
chronos2,Smart_Manufacturing,H,short,24,0.7114646384560039,0.7123756061122287,2.4730432219803333,Industry,0.9987212256449988,1.0,8.254228632897139,0.7123756061122287,28.76243938877713
chronos2,Supply_Chain_Customer,D,short,30,0.5532599382047175,0.36293523418942514,0.6198134440928698,Sales,1.5244040426120686,1.0,1.5101168360561132,0.36293523418942514,63.70647658105748
chronos2,Supply_Chain_Location,D,short,30,0.6049073017593081,0.424066140216457,0.7974528409540653,Sales,1.4264456517338167,1.0,2.1239393455907702,0.424066140216457,57.593385978354306
chronos2,US_Labor,M,short,12,1.0014785119848475,0.564975767585351,0.18271781876683235,Economics,1.7726043654315742,1.0,0.31104636937379837,0.564975767585351,43.5024232414649
chronos2,US_Term_Structure,B,short,20,1.495406901303508,0.8472618196493663,7.171806840226054,Finance,1.7649879489699798,1.0,76.68119631055743,0.8472618196493663,15.27381803506337
chronos2,Uncertainty_1M,M,short,6,0.3483185384775645,0.3595686470735416,0.20124501734972,Economics,0.9687122092330922,1.0,0.12652770429849625,0.3595686470735416,64.04313529264584
chronos2,Vehicle_Sales,M,short,12,0.8347676413435652,0.6419425789779618,0.185394287109375,Sales,1.3003774304433904,1.0,0.2621117187663913,0.6419425789779618,35.80574210220382
chronos2,Vehicle_Supply,M,short,12,0.709383837497795,0.6377317787460499,0.30109043791890144,Economics,1.1123545370322176,1.0,0.13469098322093487,0.6377317787460499,36.22682212539501
chronos2,WUI_Global,Q,short,4,0.9486989791711424,0.7439285982659435,0.18238129653036594,Economics,1.2752554228759418,1.0,0.30773282889276743,0.7439285982659435,25.60714017340565
chronos2,Water_Quality_Darwin,15T,long,288,1.3438600557963685,0.8445418310748797,1.0293857157230377,Climate,1.591229713377238,1.0,2.003494313918054,0.8445418310748797,15.545816892512033
chronos2,Water_Quality_Darwin,15T,medium,96,0.8597502615495578,0.7893230283527041,2.9835579339414835,Climate,1.0892248555624096,1.0,3.5120491245761514,0.7893230283527041,21.067697164729594
chronos2,Water_Quality_Darwin,15T,short,16,0.6094823944099157,0.5606183090187876,18.46404151059687,Climate,1.0871610587899843,1.0,15.32182686496526,0.5606183090187876,43.938169098121236
