model,tasks,mean_task_MASE,scaled_MASE,total_inference_seconds,timed_tasks,relative_improvement_percent,relative_scaled_improvement_percent,mean_paired_improvement_percent,paired_percentage_tasks,reference_mean_loss,reference_total_inference_seconds
chronos2__model_config.context_length-1024,98,1.0685898269526075,0.701139110356555,92.67076268233359,98,24.883143156442276,29.886088964344502,28.00241864370013,98,1.422569942161063,654.5789251364768
chronos2__model_config.context_length-2048,98,1.0419103848911289,0.6837876399464751,153.54496650770307,98,26.758582899035833,31.621236005352493,29.747942137316617,98,1.422569942161063,654.5789251364768
chronos2__model_config.context_length-4096,98,1.0380456310995914,0.6824273666204853,252.45780190033838,98,27.030256978249568,31.757263337951468,29.900462943642353,98,1.422569942161063,654.5789251364768
chronos2__model_config.context_length-512,98,1.0979934552678159,0.7275443012776388,67.95368684083223,98,22.816205887225095,27.245569872236118,25.305347398376856,98,1.422569942161063,654.5789251364768
chronos2__model_config.context_length-8192,98,1.040928013223042,0.6854886145419167,425.8302097674459,98,26.82763902337615,31.451138545808334,29.64815303796254,98,1.422569942161063,654.5789251364768
chronos_bolt__model_config.context_length-1024,98,1.1665024830694701,0.7697317054770902,584.9932105503976,98,18.00034230321176,23.026829452290976,20.764383881908817,98,1.422569942161063,654.5789251364768
chronos_bolt__model_config.context_length-128,98,1.267032617228148,0.8580839526458343,286.4761914568953,98,10.93354501056265,14.191604735416574,11.146234716101699,98,1.422569942161063,654.5789251364768
chronos_bolt__model_config.context_length-2048,98,1.153441992435548,0.7595590358327292,957.2394446972758,98,18.918433586237292,24.04409641672708,21.793034506466558,98,1.422569942161063,654.5789251364768
chronos_bolt__model_config.context_length-256,98,1.2357038857549407,0.8286274291786582,317.73222560994327,98,13.135808009710171,17.137257082134184,14.150708709970749,98,1.422569942161063,654.5789251364768
chronos_bolt__model_config.context_length-512,98,1.1945075850330125,0.7914364011413325,396.2295612320304,98,16.03171488226407,20.85635988586675,18.385243649324476,98,1.422569942161063,654.5789251364768
ts_icl__model_config.context_length-1024,98,1.094593997825278,0.7276728542009719,474.6701228879392,98,23.055171813735075,27.232714579902805,25.485953521832368,98,1.422569942161063,654.5789251364768
ts_icl__model_config.context_length-2048,98,1.085787777437212,0.7198958692199611,1076.2658761702478,98,23.674207836293547,28.010413078003893,26.213368359099572,98,1.422569942161063,654.5789251364768
ts_icl__model_config.context_length-256,98,1.2379578972196856,0.8304099842150912,230.8290770696476,98,12.977361567258217,16.959001578490884,13.042161615215011,98,1.422569942161063,654.5789251364768
ts_icl__model_config.context_length-4096,98,1.081982008767681,0.7183939833143376,2659.53051944077,98,23.94173553786648,28.160601668566244,26.412548092079334,98,1.422569942161063,654.5789251364768
ts_icl__model_config.context_length-512,98,1.1449115648804256,0.7655854536089205,290.0993656720966,98,19.518082665154534,23.44145463910795,21.266466568617137,98,1.422569942161063,654.5789251364768
seasonal_naive,98,1.4225699421610631,1.0,654.5789251364768,98,0.0,0.0,0.0,98,1.4225699421610631,654.5789251364768
