domain,chronos2__model_config.context_length-1024,chronos2__model_config.context_length-2048,chronos2__model_config.context_length-4096,chronos2__model_config.context_length-512,chronos2__model_config.context_length-8192,chronos_bolt__model_config.context_length-1024,chronos_bolt__model_config.context_length-128,chronos_bolt__model_config.context_length-2048,chronos_bolt__model_config.context_length-256,chronos_bolt__model_config.context_length-512,seasonal_naive,ts_icl__model_config.context_length-1024,ts_icl__model_config.context_length-2048,ts_icl__model_config.context_length-256,ts_icl__model_config.context_length-4096,ts_icl__model_config.context_length-512
Climate,0.7322393196481162,0.7138856585722305,0.7125173051352688,0.7620400326205882,0.7175059673406494,0.816398874980804,0.9016725028520693,0.8075665325768292,0.8701726379118008,0.8313047238713155,1.0,0.7570364414728014,0.7539015415963929,0.8298685018192817,0.7521763213968419,0.7781908829499663
Cloud operations,0.5949941065904752,0.5936503488136183,0.5936503488136183,0.6035035690893066,0.5936503488136183,0.6940986491459387,0.7949733061089527,0.6944620724708077,0.7814357002200855,0.7185140995487872,1.0,0.6247777186000425,0.6245856664918761,0.7181840728845793,0.6245856664918761,0.645053235700343
Economics,0.674802579150791,0.6744807840945368,0.6744807840945368,0.6755730820618471,0.6744807840945368,0.7691341723813261,0.7583198511946381,0.7693060483420933,0.7722962212208981,0.770559179073774,1.0,0.7070347400061283,0.7064677651287852,0.7142208453475903,0.7064677651287852,0.7102978123420143
Energy,0.6499230289415932,0.6099870087494235,0.6069668628323248,0.6919120084573344,0.6105618611977047,0.7314184953369819,1.0958662923481384,0.6843068249146774,0.997078342394273,0.8525634208987537,1.0,0.6679799228889842,0.6401809250133016,1.1425987838837948,0.6406460051573719,0.784700716104468
Finance,0.7925198554973568,0.7846428180885939,0.7817113965200414,0.7946915874928211,0.7807226447918029,0.823068516168973,0.8605754545652268,0.8184711858652598,0.8137163816933843,0.8100673555982132,1.0,0.7925446196057553,0.7872844669687451,0.8465223122255389,0.7866148462328061,0.8049787462495266
Healthcare,0.8264343657009616,0.8203072945551647,0.8203072945551647,0.7960919585930557,0.8203072945551647,0.8391916940300465,0.8265837117114722,0.8427264524642858,0.8222093110714784,0.850803929633596,1.0,0.9203839790718037,0.9234010303559199,0.9166494404640241,0.9234010303559199,0.8947304281756531
Industry,0.7099632150737588,0.7096220145537652,0.7096220145537652,0.7108832442876868,0.7096220145537652,0.7128783781417452,0.7286309053537258,0.7131701361447657,0.7165432373055342,0.7140006131067899,1.0,0.7110347081810213,0.710423203933081,0.7150379898726525,0.710423203933081,0.7122310443883353
Sales,0.44125807963668373,0.43882902506417076,0.43882902506417076,0.44797641703380486,0.43882902506417076,0.45004613279789574,0.5017566722568735,0.45149155632622734,0.502142504507866,0.456336404215502,1.0,0.4612406514685325,0.46033096831933124,0.5021114254839806,0.46033096831933124,0.4792518907261759
Transport,0.6646258144362757,0.6283120001602401,0.626658678031352,0.7379127812075145,0.6296840039875741,0.708315737720677,0.8587193800809783,0.6878208887597586,0.8005015367363202,0.7608856925002897,1.0,0.7031451345845383,0.6717014989089266,0.9814981033175483,0.6669921278573406,0.86480963542765
Unclassified,0.7017491651723525,0.684658265579316,0.679176798498824,0.7256257288511048,0.6798500647645618,0.7879767370229122,0.9318587224983419,0.7791165650536745,0.9063990049722149,0.8016512085672602,1.0,0.7342667878076465,0.7221256219210642,0.8871861895413158,0.7186379108791688,0.764095200603831
