model,tasks,relative_improvement_percent,relative_scaled_improvement_percent,mean_paired_improvement_percent,paired_percentage_tasks
chronos2__model_config.context_length-1024,98,24.883143156442276,29.886088964344502,28.00241864370013,98
chronos2__model_config.context_length-2048,98,26.758582899035833,31.621236005352493,29.747942137316617,98
chronos2__model_config.context_length-4096,98,27.030256978249568,31.757263337951468,29.900462943642353,98
chronos2__model_config.context_length-512,98,22.816205887225095,27.245569872236118,25.305347398376856,98
chronos2__model_config.context_length-8192,98,26.82763902337615,31.451138545808334,29.64815303796254,98
chronos_bolt__model_config.context_length-1024,98,18.00034230321176,23.026829452290976,20.764383881908817,98
chronos_bolt__model_config.context_length-128,98,10.93354501056265,14.191604735416574,11.146234716101699,98
chronos_bolt__model_config.context_length-2048,98,18.918433586237292,24.04409641672708,21.793034506466558,98
chronos_bolt__model_config.context_length-256,98,13.135808009710171,17.137257082134184,14.150708709970749,98
chronos_bolt__model_config.context_length-512,98,16.03171488226407,20.85635988586675,18.385243649324476,98
ts_icl__model_config.context_length-1024,98,23.055171813735075,27.232714579902805,25.485953521832368,98
ts_icl__model_config.context_length-2048,98,23.674207836293547,28.010413078003893,26.213368359099572,98
ts_icl__model_config.context_length-256,98,12.977361567258217,16.959001578490884,13.042161615215011,98
ts_icl__model_config.context_length-4096,98,23.94173553786648,28.160601668566244,26.412548092079334,98
ts_icl__model_config.context_length-512,98,19.518082665154534,23.44145463910795,21.266466568617137,98
seasonal_naive,98,0.0,0.0,0.0,98
