frequency,horizon_steps,best_mean_loss,winners,comparable,tasks_per_model
H,168,1.2492086103447686,"[""ts_icl__model_config.context_length-4096""]",True,8
H,72,1.0403364787495701,"[""ts_icl__model_config.context_length-4096""]",True,4
H,24,0.8705207036187864,"[""chronos2__model_config.context_length-8192""]",True,8
M,12,0.865590151435859,"[""chronos2__model_config.context_length-512""]",True,8
15T,288,1.174834217275086,"[""chronos2__model_config.context_length-2048""]",True,4
15T,96,0.7960018112273353,"[""chronos2__model_config.context_length-4096""]",True,7
15T,12,0.7600778633975827,"[""chronos2__model_config.context_length-4096""]",True,3
30T,144,1.7375017863284548,"[""chronos2__model_config.context_length-2048""]",True,1
30T,48,1.5044037938965074,"[""chronos2__model_config.context_length-2048""]",True,1
30T,12,1.345439279615339,"[""chronos2__model_config.context_length-2048""]",True,1
H,336,1.5980511168470313,"[""ts_icl__model_config.context_length-4096""]",True,4
20T,216,1.2180074993449521,"[""chronos2__model_config.context_length-8192""]",True,2
20T,72,0.8262820979545791,"[""chronos2__model_config.context_length-2048""]",True,2
20T,9,0.4400224968277913,"[""chronos2__model_config.context_length-2048""]",True,2
5T,864,1.0067438406035771,"[""chronos2__model_config.context_length-2048""]",True,2
5T,288,0.7283564002949987,"[""chronos2__model_config.context_length-4096""]",True,6
5T,36,0.5776304187770496,"[""chronos2__model_config.context_length-2048""]",True,2
D,30,1.9768787982781106,"[""chronos2__model_config.context_length-512""]",True,6
W,13,2.0180404192885693,"[""chronos2__model_config.context_length-1024"", ""chronos2__model_config.context_length-2048"", ""chronos2__model_config.context_length-4096"", ""chronos2__model_config.context_length-512"", ""chronos2__model_config.context_length-8192""]",True,4
15T,672,0.6832109777570392,"[""chronos2__model_config.context_length-2048""]",True,3
15T,24,0.5402466573351691,"[""chronos2__model_config.context_length-4096""]",True,1
15T,16,0.44560074618941226,"[""chronos2__model_config.context_length-2048""]",True,3
Q,4,1.1879383166472257,"[""chronos2__model_config.context_length-1024"", ""chronos2__model_config.context_length-2048"", ""chronos2__model_config.context_length-4096"", ""chronos2__model_config.context_length-512"", ""chronos2__model_config.context_length-8192""]",True,2
5T,576,0.6607532200780499,"[""chronos2__model_config.context_length-1024""]",True,1
5T,48,0.6363861150921641,"[""chronos2__model_config.context_length-8192""]",True,2
B,20,1.4149717081438302,"[""chronos2__model_config.context_length-1024""]",True,2
5T,96,0.5801664817821864,"[""chronos2__model_config.context_length-8192""]",True,1
5T,24,0.38256966810718757,"[""chronos2__model_config.context_length-8192""]",True,1
D,14,0.8996563650699254,"[""chronos2__model_config.context_length-4096"", ""chronos2__model_config.context_length-8192""]",True,1
D,7,0.8880768388465542,"[""chronos2__model_config.context_length-4096"", ""chronos2__model_config.context_length-8192""]",True,1
D,3,0.8518474893871785,"[""chronos2__model_config.context_length-4096"", ""chronos2__model_config.context_length-8192""]",True,1
M,6,0.34658902070398,"[""ts_icl__model_config.context_length-1024"", ""ts_icl__model_config.context_length-2048"", ""ts_icl__model_config.context_length-4096""]",True,1
10T,432,0.9316454809403314,"[""chronos2__model_config.context_length-8192""]",True,1
10T,144,0.6749399560571021,"[""chronos2__model_config.context_length-2048""]",True,1
10T,18,0.513400898214542,"[""chronos2__model_config.context_length-2048""]",True,1
