domain,chronos2__model_config.context_length-1024,chronos2__model_config.context_length-2048,chronos2__model_config.context_length-4096,chronos2__model_config.context_length-512,chronos2__model_config.context_length-8192,chronos_bolt__model_config.context_length-1024,chronos_bolt__model_config.context_length-128,chronos_bolt__model_config.context_length-2048,chronos_bolt__model_config.context_length-256,chronos_bolt__model_config.context_length-512,seasonal_naive,ts_icl__model_config.context_length-1024,ts_icl__model_config.context_length-2048,ts_icl__model_config.context_length-256,ts_icl__model_config.context_length-4096,ts_icl__model_config.context_length-512
Climate,25.191148725972866,27.097395985112882,27.285085154146344,22.036313257649805,26.906578784278363,16.572001266359514,7.041961020774065,17.479508980246145,10.417178920532523,14.837618736484792,0.0,22.955261442540195,23.24972818726849,14.690028966384181,23.522704839103636,20.661954271053215
Cloud operations,40.50058934095247,40.63496511863816,40.63496511863816,39.64964309106934,40.63496511863816,30.590135085406132,20.50266938910473,30.55379275291923,21.856429977991453,28.14859004512128,0.0,37.52222813999575,37.54143335081239,28.18159271154207,37.54143335081239,35.4946764299657
Economics,29.921305441286584,29.959358551030608,29.959358551030608,29.94349617324519,29.959358551030608,18.965484844540242,20.906046364625947,18.946837538651433,19.029572253295147,18.949246695415777,0.0,26.7657926987657,26.828476339383954,26.381874845172263,26.828476339383954,26.5674125032207
Energy,33.514041202808215,37.49926266430139,37.64912697630165,29.211988356060306,37.18247378256468,25.23821390868926,-13.550186091923544,30.07710139638937,-6.42488533965816,11.563916770409504,0.0,31.902335461272997,34.655418855539374,-24.613729267268344,34.5668507360058,19.42884505227698
Finance,19.564516642466852,20.55783743127351,20.829748052703653,19.556973989253283,20.915851984567013,16.241399727371817,13.624426241126157,16.92893348797216,17.516909655004586,17.556014357779375,0.0,19.39762974296706,20.098941515222858,14.121596933985856,20.176744115840673,17.975656628737383
Healthcare,15.982521999731702,16.67310154458274,16.67310154458274,19.302934159496612,16.67310154458274,15.119501161127431,16.44951949706913,14.70341745670175,17.07012401933422,13.739420566060398,0.0,5.638746460614466,5.337591158766341,6.008794868452637,5.337591158766341,8.120572204307651
Industry,29.003324049995186,29.037467292852728,29.037467292852728,28.911325142367833,29.037467292852728,28.711459990343574,27.13682062351116,28.682245282439382,28.34504326604748,28.59927104658676,0.0,28.896226073858287,28.957355926635103,28.495850178188494,28.957355926635103,28.776581663783645
Sales,54.675967610584806,54.89295262734165,54.89295262734165,54.127280139793285,54.89295262734165,54.29743238645224,49.32656901356023,54.16066537095926,49.15618397356558,53.71022432742205,0.0,53.14221283115896,53.225371241369906,49.33538263948114,53.225371241369906,51.525407262228214
Transport,32.55549211663999,35.912739493992156,36.070993102070105,25.312972268292835,35.797675238708344,28.24164880846155,13.093076509404547,30.21188506725986,19.015433030987275,22.948778094545084,0.0,28.9021900623815,31.878221844841594,-4.232651093261361,32.328835955110804,10.413403314549019
Unclassified,29.80516195834059,31.528486503630383,32.08021255851817,27.41780020807818,32.013835645951445,21.154327878857295,5.09361590192572,22.063411607898182,7.859728441195291,19.715950210810107,0.0,26.530756451956428,27.7731799087569,9.607317662381403,28.126001153236015,23.425152368030048
