model,context_size,horizon_size,scaled_MASE,tasks
chronos2,8192,4,0.7554251684139083,2
chronos2,8192,6,0.35956864707354164,1
chronos2,8192,7,0.7524136034517775,1
chronos2,8192,9,0.4196575991272917,2
chronos2,8192,12,0.6405774040643336,12
chronos2,8192,13,0.8631653470731406,4
chronos2,8192,14,0.757408476991288,1
chronos2,8192,16,0.4838009534603044,3
chronos2,8192,18,0.4982241238609957,1
chronos2,8192,20,0.8570255710836625,2
chronos2,8192,24,0.6639836236126108,10
chronos2,8192,30,0.5771919871944201,6
chronos2,8192,36,0.513691563087366,2
chronos2,8192,48,0.6937317402589703,3
chronos2,8192,72,0.7639777856880033,6
chronos2,8192,96,0.7031637816457992,8
chronos2,8192,144,0.7249198712104274,2
chronos2,8192,168,0.7726395543849299,8
chronos2,8192,216,0.7720607044904119,2
chronos2,8192,288,0.7485135098715867,10
chronos2,8192,336,0.7731235134178929,4
chronos2,8192,432,0.6481012388791804,1
chronos2,8192,576,0.7697031603954076,1
chronos2,8192,672,0.6567362564693585,3
chronos2,8192,864,0.8109554851043597,2
chronos_bolt,128,3,0.8490122388168234,1
chronos_bolt,128,4,0.8086519878041247,2
chronos_bolt,128,6,0.42080279104227597,1
chronos_bolt,128,7,0.8086083963408432,1
chronos_bolt,128,9,0.5839242869242668,2
chronos_bolt,128,12,0.7032326582825016,12
chronos_bolt,128,13,0.8955790990393893,4
chronos_bolt,128,14,0.8150686190040243,1
chronos_bolt,128,16,0.7351915660924735,3
chronos_bolt,128,18,0.785338169102855,1
chronos_bolt,128,20,0.9017404463555628,2
chronos_bolt,128,24,0.8208307231331798,10
chronos_bolt,128,30,0.6345049035309044,6
chronos_bolt,128,36,0.6389735928517358,2
chronos_bolt,128,48,0.8283127302418418,3
chronos_bolt,128,72,1.0408012574461638,6
chronos_bolt,128,96,1.0430168355620648,8
chronos_bolt,128,144,1.1386057597163124,2
chronos_bolt,128,168,0.8907150246367878,8
chronos_bolt,128,216,1.3059704272445778,2
chronos_bolt,128,288,0.9902114437116982,10
chronos_bolt,128,336,0.8823154182815682,4
chronos_bolt,128,432,1.1642434871657432,1
chronos_bolt,128,576,0.830772218038834,1
chronos_bolt,128,672,1.024571432632716,3
chronos_bolt,128,864,1.141626832187269,2
chronos_bolt,256,3,0.8424854853806518,1
chronos_bolt,256,4,0.8095876184096986,2
chronos_bolt,256,6,0.49025510714437687,1
chronos_bolt,256,7,0.8050286712919952,1
chronos_bolt,256,9,0.5462057450737192,2
chronos_bolt,256,12,0.6929490679000516,12
chronos_bolt,256,13,0.9264641335832396,4
chronos_bolt,256,14,0.8178029709768031,1
chronos_bolt,256,16,0.6705047532097534,3
chronos_bolt,256,18,0.7125207844821257,1
chronos_bolt,256,20,0.9067793871503476,2
chronos_bolt,256,24,0.7669987303496932,10
chronos_bolt,256,30,0.6356948312176808,6
chronos_bolt,256,36,0.6143498404112774,2
chronos_bolt,256,48,0.8028758614186938,3
chronos_bolt,256,72,0.9676979544972384,6
chronos_bolt,256,96,0.9684672111131192,8
chronos_bolt,256,144,1.072281289223047,2
chronos_bolt,256,168,0.8593284092666308,8
chronos_bolt,256,216,1.1903038052253347,2
chronos_bolt,256,288,0.9937018392101431,10
chronos_bolt,256,336,0.8745709610003455,4
chronos_bolt,256,432,1.0753778202155488,1
chronos_bolt,256,576,0.8186767584718168,1
chronos_bolt,256,672,0.8346328430493802,3
chronos_bolt,256,864,1.2236992097677069,2
chronos_bolt,512,3,0.8233889863513997,1
chronos_bolt,512,4,0.8124526115809472,2
chronos_bolt,512,6,0.44534114310743766,1
chronos_bolt,512,7,0.7835424373881855,1
chronos_bolt,512,9,0.5504814797461571,2
chronos_bolt,512,12,0.6907793137698561,12
chronos_bolt,512,13,0.925976369451292,4
chronos_bolt,512,14,0.79371511957952,1
chronos_bolt,512,16,0.6218805687389903,3
chronos_bolt,512,18,0.6721076146309686,1
chronos_bolt,512,20,0.9012897611607008,2
chronos_bolt,512,24,0.7403956255904758,10
chronos_bolt,512,30,0.6206020920968189,6
chronos_bolt,512,36,0.5796397461618493,2
chronos_bolt,512,48,0.7697760486048957,3
chronos_bolt,512,72,0.9325581354151856,6
chronos_bolt,512,96,0.8851906618498598,8
chronos_bolt,512,144,0.985175943428612,2
chronos_bolt,512,168,0.8271374665434434,8
chronos_bolt,512,216,1.2318458523211542,2
chronos_bolt,512,288,0.885498310148626,10
chronos_bolt,512,336,0.8585209957466237,4
chronos_bolt,512,432,0.9983387919459359,1
chronos_bolt,512,576,0.8051346395232258,1
chronos_bolt,512,672,0.7848647957507624,3
chronos_bolt,512,864,0.991347708233568,2
chronos_bolt,1024,3,0.818556555199929,1
chronos_bolt,1024,4,0.8124526115809472,2
chronos_bolt,1024,6,0.4284923211183383,1
chronos_bolt,1024,7,0.7762835732293065,1
chronos_bolt,1024,9,0.5413014617566598,2
chronos_bolt,1024,12,0.6899498214410864,12
chronos_bolt,1024,13,0.925976369451292,4
chronos_bolt,1024,14,0.7856460548700135,1
chronos_bolt,1024,16,0.5601656086271605,3
chronos_bolt,1024,18,0.640460614062129,1
chronos_bolt,1024,20,0.9209713593395649,2
chronos_bolt,1024,24,0.7201739794299018,10
chronos_bolt,1024,30,0.6111460059609874,6
chronos_bolt,1024,36,0.5679744807062274,2
chronos_bolt,1024,48,0.7559395534854333,3
chronos_bolt,1024,72,0.9209406775431414,6
chronos_bolt,1024,96,0.8031691355129255,8
chronos_bolt,1024,144,0.936005101841392,2
chronos_bolt,1024,168,0.8227308739534449,8
chronos_bolt,1024,216,1.1756343370762583,2
chronos_bolt,1024,288,0.8523694854525845,10
chronos_bolt,1024,336,0.8313547762066861,4
chronos_bolt,1024,432,0.9681361313970178,1
chronos_bolt,1024,576,0.807153212432571,1
chronos_bolt,1024,672,0.7469971196067337,3
chronos_bolt,1024,864,0.965779029810105,2
chronos_bolt,2048,3,0.8143449796422634,1
chronos_bolt,2048,4,0.8124526115809472,2
chronos_bolt,2048,6,0.4284923211183383,1
chronos_bolt,2048,7,0.7726573878723118,1
chronos_bolt,2048,9,0.5233986484015369,2
chronos_bolt,2048,12,0.6881863554444142,12
chronos_bolt,2048,13,0.925976369451292,4
chronos_bolt,2048,14,0.7827356577297115,1
chronos_bolt,2048,16,0.5337332383980765,3
chronos_bolt,2048,18,0.6174763561582273,1
chronos_bolt,2048,20,0.9041383109158219,2
chronos_bolt,2048,24,0.7127215407934501,10
chronos_bolt,2048,30,0.6112293531847821,6
chronos_bolt,2048,36,0.5640432473806221,2
chronos_bolt,2048,48,0.7539131140736284,3
chronos_bolt,2048,72,0.9223396217831141,6
chronos_bolt,2048,96,0.7642530572037348,8
chronos_bolt,2048,144,0.9098619294204497,2
chronos_bolt,2048,168,0.8239667177086835,8
chronos_bolt,2048,216,1.1536253487138326,2
chronos_bolt,2048,288,0.8323647554969331,10
chronos_bolt,2048,336,0.8206976799763334,4
chronos_bolt,2048,432,0.9579246305286601,1
chronos_bolt,2048,576,0.7998692663311054,1
chronos_bolt,2048,672,0.7385400653969054,3
chronos_bolt,2048,864,0.9489917702826489,2
ts_icl,256,3,0.8279425938470367,1
ts_icl,256,4,0.7891950581526297,2
ts_icl,256,6,0.4098298862646227,1
ts_icl,256,7,0.7914758617247287,1
ts_icl,256,9,0.46934507060513087,2
ts_icl,256,12,0.6755038418068926,12
ts_icl,256,13,0.9193357743205735,4
ts_icl,256,14,0.8043294141414911,1
ts_icl,256,16,0.6908276972915047,3
ts_icl,256,18,0.6206708216939292,1
ts_icl,256,20,0.8919986940464489,2
ts_icl,256,24,0.7502488386254107,10
ts_icl,256,30,0.6485838447116464,6
ts_icl,256,36,0.5822659061069211,2
ts_icl,256,48,0.7756505511865918,3
ts_icl,256,72,0.8938196228688593,6
ts_icl,256,96,1.058718195491276,8
ts_icl,256,144,0.9907612872470856,2
ts_icl,256,168,0.8186902864566489,8
ts_icl,256,216,1.1595884805554453,2
ts_icl,256,288,1.019405750092479,10
ts_icl,256,336,0.8419842443372986,4
ts_icl,256,432,1.0489585919039226,1
ts_icl,256,576,0.8445690486184301,1
ts_icl,256,672,1.585455364000437,3
ts_icl,256,864,1.1361014998711807,2
ts_icl,512,3,0.8125311657247037,1
ts_icl,512,4,0.7895649999126275,2
ts_icl,512,6,0.37342465161507615,1
ts_icl,512,7,0.7742755660892121,1
ts_icl,512,9,0.45773033278614866,2
ts_icl,512,12,0.6728426914627396,12
ts_icl,512,13,0.9190493554389962,4
ts_icl,512,14,0.7835816324689193,1
ts_icl,512,16,0.6232157575042255,3
ts_icl,512,18,0.5799063274210106,1
ts_icl,512,20,0.8679704127563517,2
ts_icl,512,24,0.7067373425558978,10
ts_icl,512,30,0.621381322570231,6
ts_icl,512,36,0.553016639990566,2
ts_icl,512,48,0.7360623501521312,3
ts_icl,512,72,0.8165268642891063,6
ts_icl,512,96,0.895145192974535,8
ts_icl,512,144,0.8316028687294629,2
ts_icl,512,168,0.7907949666913983,8
ts_icl,512,216,1.0109369875013279,2
ts_icl,512,288,0.8413098678859054,10
ts_icl,512,336,0.806558008788129,4
ts_icl,512,432,0.91134471365851,1
ts_icl,512,576,0.7966104845856936,1
ts_icl,512,672,1.209901222444476,3
ts_icl,512,864,0.9917092082330518,2
ts_icl,1024,3,0.8045966790467938,1
ts_icl,1024,4,0.7895649999126275,2
ts_icl,1024,6,0.35778326875674127,1
ts_icl,1024,7,0.7642251260190398,1
ts_icl,1024,9,0.459307007596378,2
ts_icl,1024,12,0.672045697448156,12
ts_icl,1024,13,0.9190493554389962,4
ts_icl,1024,14,0.7703710579663753,1
ts_icl,1024,16,0.5519418237349467,3
ts_icl,1024,18,0.5582942030689081,1
ts_icl,1024,20,0.8699784790107842,2
ts_icl,1024,24,0.686783901112273,10
ts_icl,1024,30,0.6089391759137536,6
ts_icl,1024,36,0.543114193440468,2
ts_icl,1024,48,0.7239463461476564,3
ts_icl,1024,72,0.8019160387297408,6
ts_icl,1024,96,0.7782772527361673,8
ts_icl,1024,144,0.7937704751929245,2
ts_icl,1024,168,0.7723815679225609,8
ts_icl,1024,216,0.926707163538058,2
ts_icl,1024,288,0.8026529121340498,10
ts_icl,1024,336,0.7703663191754933,4
ts_icl,1024,432,0.8264481916451393,1
ts_icl,1024,576,0.7949236169052786,1
ts_icl,1024,672,0.7366291571861276,3
ts_icl,1024,864,0.9574845561935089,2
ts_icl,2048,3,0.7988800436237299,1
ts_icl,2048,4,0.7895649999126275,2
ts_icl,2048,6,0.35778326875674127,1
ts_icl,2048,7,0.7594841486185018,1
ts_icl,2048,9,0.46060075934924244,2
ts_icl,2048,12,0.6704054593835802,12
ts_icl,2048,13,0.9190493554389962,4
ts_icl,2048,14,0.7635880527749543,1
ts_icl,2048,16,0.5250157798822033,3
ts_icl,2048,18,0.5551567073412444,1
ts_icl,2048,20,0.8570299303522365,2
ts_icl,2048,24,0.6800174110970515,10
ts_icl,2048,30,0.6063854461075434,6
ts_icl,2048,36,0.5464277906672209,2
ts_icl,2048,48,0.7228079228290801,3
ts_icl,2048,72,0.8028858766106293,6
ts_icl,2048,96,0.7470250368314867,8
ts_icl,2048,144,0.7893765481090427,2
ts_icl,2048,168,0.7681095773226596,8
ts_icl,2048,216,0.9264588523121552,2
ts_icl,2048,288,0.7921486425887267,10
ts_icl,2048,336,0.7669988863670781,4
ts_icl,2048,432,0.7664577870717574,1
ts_icl,2048,576,0.8001274377868375,1
ts_icl,2048,672,0.6938161489976632,3
ts_icl,2048,864,0.9914365897546348,2
ts_icl,4096,3,0.7987369394624099,1
ts_icl,4096,4,0.7895649999126275,2
ts_icl,4096,6,0.35778326875674127,1
ts_icl,4096,7,0.7590073951091556,1
ts_icl,4096,9,0.47632925235318757,2
ts_icl,4096,12,0.6710234248978396,12
ts_icl,4096,13,0.9190493554389962,4
ts_icl,4096,14,0.7631479753017452,1
ts_icl,4096,16,0.5300051616460202,3
ts_icl,4096,18,0.5615680496491282,1
ts_icl,4096,20,0.8668536429407245,2
ts_icl,4096,24,0.680656513213132,10
ts_icl,4096,30,0.6049002964172171,6
ts_icl,4096,36,0.5454865240662126,2
ts_icl,4096,48,0.7228915614180877,3
ts_icl,4096,72,0.8035219199793179,6
ts_icl,4096,96,0.7457365697530172,8
ts_icl,4096,144,0.7785303032637055,2
ts_icl,4096,168,0.765785669754135,8
ts_icl,4096,216,0.8936707428134636,2
ts_icl,4096,288,0.7871302022815763,10
ts_icl,4096,336,0.7618353120053329,4
ts_icl,4096,432,0.7387721202427384,1
ts_icl,4096,576,0.803482866338668,1
ts_icl,4096,672,0.6866393609176952,3
ts_icl,4096,864,0.9677708170492754,2
