model,context_size,horizon_size,scaled_MASE,tasks
chronos2,512,3,0.813906362097159,1
chronos2,512,4,0.7554251684139083,2
chronos2,512,6,0.37005437235035393,1
chronos2,512,7,0.7784700649588839,1
chronos2,512,9,0.4174336770532614,2
chronos2,512,12,0.6443547276176579,12
chronos2,512,13,0.8631653470731406,4
chronos2,512,14,0.7882464889519739,1
chronos2,512,16,0.5686989908342506,3
chronos2,512,18,0.5178116771510157,1
chronos2,512,20,0.8568908330494345,2
chronos2,512,24,0.6870553536664802,10
chronos2,512,30,0.58027944633924,6
chronos2,512,36,0.5336241480639243,2
chronos2,512,48,0.7171351503833224,3
chronos2,512,72,0.7939876421503482,6
chronos2,512,96,0.8260627614878877,8
chronos2,512,144,0.7706895286993142,2
chronos2,512,168,0.8134280664897623,8
chronos2,512,216,0.924807464225091,2
chronos2,512,288,0.8142376352700368,10
chronos2,512,336,0.8596302953448245,4
chronos2,512,432,0.7250765774539574,1
chronos2,512,576,0.7822044045684223,1
chronos2,512,672,0.7622049077838607,3
chronos2,512,864,0.9531069583695094,2
chronos2,1024,3,0.8039749123907707,1
chronos2,1024,4,0.7554251684139083,2
chronos2,1024,6,0.35956864707354164,1
chronos2,1024,7,0.7646494292591556,1
chronos2,1024,9,0.3964693380896453,2
chronos2,1024,12,0.6423744581018977,12
chronos2,1024,13,0.8631653470731406,4
chronos2,1024,14,0.7718849747554252,1
chronos2,1024,16,0.5019558350043795,3
chronos2,1024,18,0.5037053765673567,1
chronos2,1024,20,0.8544250928154017,2
chronos2,1024,24,0.6731604473456712,10
chronos2,1024,30,0.5873657539586831,6
chronos2,1024,36,0.5162754403647309,2
chronos2,1024,48,0.7003692593664056,3
chronos2,1024,72,0.7789357990945031,6
chronos2,1024,96,0.7510495232790402,8
chronos2,1024,144,0.7336494119895508,2
chronos2,1024,168,0.7832330178068321,8
chronos2,1024,216,0.8720807579248123,2
chronos2,1024,288,0.7720806266240979,10
chronos2,1024,336,0.831233850598437,4
chronos2,1024,432,0.7155818339949878,1
chronos2,1024,576,0.7606316296951224,1
chronos2,1024,672,0.68457306095316,3
chronos2,1024,864,0.8194471865186116,2
chronos2,2048,3,0.7984880448516568,1
chronos2,2048,4,0.7554251684139083,2
chronos2,2048,6,0.35956864707354164,1
chronos2,2048,7,0.7545916674655362,1
chronos2,2048,9,0.3851437282784149,2
chronos2,2048,12,0.6397634576312163,12
chronos2,2048,13,0.8631653470731406,4
chronos2,2048,14,0.7591039601072862,1
chronos2,2048,16,0.4704858366102866,3
chronos2,2048,18,0.49242175240202074,1
chronos2,2048,20,0.8559170044160905,2
chronos2,2048,24,0.6661101898524908,10
chronos2,2048,30,0.5776278607246204,6
chronos2,2048,36,0.5123800165333542,2
chronos2,2048,48,0.6923232278514116,3
chronos2,2048,72,0.7562860789114817,6
chronos2,2048,96,0.7023058699708697,8
chronos2,2048,144,0.7108388402311108,2
chronos2,2048,168,0.7762361090415143,8
chronos2,2048,216,0.8190996641567714,2
chronos2,2048,288,0.7475292429238406,10
chronos2,2048,336,0.7953217962651503,4
chronos2,2048,432,0.6709720987030287,1
chronos2,2048,576,0.7767515014742311,1
chronos2,2048,672,0.6405924082922163,3
chronos2,2048,864,0.7691315070832003,2
chronos2,4096,3,0.7968924694631168,1
chronos2,4096,4,0.7554251684139083,2
chronos2,4096,6,0.35956864707354164,1
chronos2,4096,7,0.7524136034517775,1
chronos2,4096,9,0.38652826987691075,2
chronos2,4096,12,0.6398548178243401,12
chronos2,4096,13,0.8631653470731406,4
chronos2,4096,14,0.757408476991288,1
chronos2,4096,16,0.47345963601225965,3
chronos2,4096,18,0.49272033717101854,1
chronos2,4096,20,0.856622165162528,2
chronos2,4096,24,0.6647428499061686,10
chronos2,4096,30,0.5771919871944201,6
chronos2,4096,36,0.5118609732354756,2
chronos2,4096,48,0.6932923151532375,3
chronos2,4096,72,0.760253025360515,6
chronos2,4096,96,0.6982907913554788,8
chronos2,4096,144,0.7194957836522357,2
chronos2,4096,168,0.7736382725159687,8
chronos2,4096,216,0.7787952816202053,2
chronos2,4096,288,0.7456049824545993,10
chronos2,4096,336,0.7727598910476978,4
chronos2,4096,432,0.6562574692465443,1
chronos2,4096,576,0.7674888370402602,1
chronos2,4096,672,0.6480692520438455,3
chronos2,4096,864,0.793780425268637,2
chronos2,8192,3,0.7968924694631168,1
