domain,chronos2,chronos_bolt,seasonal_naive,ts_icl
Climate,0.7175059673406494,0.8075665325768292,1.0,0.7521763213968419
Cloud operations,0.5936503488136183,0.6944620724708077,1.0,0.6245856664918761
Economics,0.6744807840945368,0.7693060483420933,1.0,0.7064677651287852
Energy,0.6105618611977047,0.6843068249146774,1.0,0.6406460051573719
Finance,0.7807226447918029,0.8184711858652598,1.0,0.7866148462328061
Healthcare,0.8203072945551647,0.8427264524642858,1.0,0.9234010303559199
Industry,0.7096220145537652,0.7131701361447657,1.0,0.710423203933081
Sales,0.43882902506417076,0.45149155632622734,1.0,0.46033096831933124
Transport,0.6296840039875741,0.6878208887597586,1.0,0.6669921278573406
Unclassified,0.6798500647645618,0.7791165650536745,1.0,0.7186379108791688
