domain,chronos2,chronos_bolt,seasonal_naive,ts_icl
Climate,1.0394593210642906,1.167269048051964,1.394134037709458,1.0813619495025295
Cloud operations,0.6607650521734936,0.7729739710685387,1.1130542641708217,0.6951977394287573
Economics,1.089231263749338,1.2702632906862332,1.4634204534099011,1.1079549530667625
Energy,0.611204170856088,0.6828042556430926,0.97682714500119,0.6378228099425765
Finance,2.105951660476022,2.2252155357275716,2.4620012924491834,2.139228071410839
Healthcare,2.466688194255598,2.5918883050948867,3.1056180707235863,2.7058053376806956
Industry,0.7112449102497985,0.7148023421857621,1.0022912568434859,0.7120479562903183
Sales,0.6505512713280388,0.6637809208253372,1.4686212064144781,0.6772577335019458
Transport,0.5931928626683382,0.6493323554116637,0.9291833143028868,0.6278199202360067
Unclassified,0.6960750459951832,0.7973766782604312,1.0240696332644776,0.7355799924016022
